Importers	2005-M01-Exported unit value, US Dollar/Units	2005-M02-Exported unit value, US Dollar/Units	2005-M03-Exported unit value, US Dollar/Units	2005-M04-Exported unit value, US Dollar/Units	2005-M05-Exported unit value, US Dollar/Units	2005-M06-Exported unit value, US Dollar/Units	2005-M07-Exported unit value, US Dollar/Units	Exported value in 2005-M07, US Dollar thousand	Exported quantity in 2005-M07, Units	
"World"	136	138	119	132	132	136	153	30452	198822	
"United States of America"	107	106	93	89	99	99	110	5814	52646	
"Russian Federation"	167	160	170	164	184	189	166	2627	15855	
"United Kingdom"	147	135	143	144	139	134	152	2533	16700	
"Finland"	213	269	198	269	140	297	251	2172	8658	
"Ukraine"	200	191	166	201	205	193	208	1914	9182	
"Belgium"		118	141	192	109	128	461	1120	2429	
"Japan"	96	102	96	88	96	104	111	960	8663	
"Australia"	115	146	131	140	129	138	178	946	5327	
"Spain"	195	178	200	288	280	225	209	893	4272	
"Bangladesh"	127	122	136	124	123	135	132	875	6612	
"France"	175	181	155	302	144	180	303	850	2806	
"Saudi Arabia"	198	196	115	172	142	159	132	848	6443	
"Kazakhstan"	182	174	165	163	170	164	178	819	4589	
"South Africa"	155	126	122	127	131	126	168	691	4122	
"Nigeria"	97		140	149	107	114	121	546	4498	
"United Arab Emirates"	125	136	149	131	119	115	121	424	3515	
"Lithuania"			226	146	205	203	210	358	1704	
"Canada"	147	130	120	116	97	94	136	345	2537	
"Hong Kong, China"	159	213	140	181	173	148	169	326	1933	
"Latvia"	128		121	141		166	171	298	1741	
"Hungary"	212	199	193	132	194	166	210	263	1253	
"Korea, Republic of"	182	219	216	217	94	99	143	245	1709	
"Netherlands"	188	208	101	145	118	116	117	244	2086	
"Poland"	177	241	228	267	225	231	243	242	997	
"Italy"	128	281	189	169	154	115	149	230	1548	
"Yemen"	122	136	141	129	134	156	132	197	1491	
"Tajikistan"	192		400	125	176	71	111	185	1673	
"Bulgaria"	200		124	134	137	161	121	183	1509	
"Jordan"	133	126	131	161	157	129	152	170	1117	
"New Zealand"	86		200	136	141	186	256	161	630	
"Singapore"	146	148	125	99	98	149	123	160	1297	
"Greece"	108	225	126	145	105	101	172	150	872	
"Indonesia"	142	344	201	80	152	133	149	138	926	
"Mongolia"			113	164	136	131	137	134	976	
"Kuwait"		242	231	171		148	150	126	839	
"Kenya"	175		172	122		126	154	121	785	
"Serbia and Montenegro"				100	204	102	107	111	1040	
"Turkmenistan"	160	143		153	131	147	160	109	682	
