Importers	2005-M07-Exported unit value, US Dollar/Units	2005-M08-Exported unit value, US Dollar/Units	2005-M09-Exported unit value, US Dollar/Units	2005-M10-Exported unit value, US Dollar/Units	2005-M11-Exported unit value, US Dollar/Units	2005-M12-Exported unit value, US Dollar/Units	2006-M01-Exported unit value, US Dollar/Units	2006-M02-Exported unit value, US Dollar/Units	2006-M03-Exported unit value, US Dollar/Units	2006-M04-Exported unit value, US Dollar/Units	2006-M05-Exported unit value, US Dollar/Units	2006-M06-Exported unit value, US Dollar/Units	2006-M07-Exported unit value, US Dollar/Units	2006-M08-Exported unit value, US Dollar/Units	2006-M09-Exported unit value, US Dollar/Units	2006-M10-Exported unit value, US Dollar/Units	2006-M11-Exported unit value, US Dollar/Units	2006-M12-Exported unit value, US Dollar/Units	2007-M01-Exported unit value, US Dollar/Units	2007-M02-Exported unit value, US Dollar/Units	Exported value in 2007-M02, US Dollar thousand	Exported quantity in 2007-M02, Units	
"World"	153	163	162	161	153	151	148	152	149	158	164	184	189	206	185	205	201	203	184	189	62917	333154	
"Cuba"	157	157	157		167	167	146	150	161	144	155	189	189		166	157				192	12549	65330	
"Japan"	111	102	101	97	99	101	110	103	113	180	264	369	346	329	318	317	324	314	267	250	9222	36902	
"United Kingdom"	152	167	159	144	134	147	143	149	183	180	190	167	159	222	168	297	174	272	175	248	7378	29704	
"Jordan"	152	97	154		167	200	138	140	135	166	129	162	163	99	182	182	135	146	147	148	4423	29916	
"United States of America"	110	107	106	116	118	113	107	106	91	99	107	104	118	113	109	104	116	113	102	102	3665	35999	
"Russian Federation"	166	174	178	172	176	175	242	237	142	160	157	166	148	151	149	159	171	211	208	190	2592	13673	
"Ukraine"	208	203	213	216	220	218	202	221	203	224	210	208	205	196	208	214	205	216	201	198	2342	11804	
"France"	303	287	291	259	208	212	194	305	311	320	219	406	361	402	352	366	337	382	366	393	2109	5371	
"Australia"	178	296	207	195	191	161	177	234	196	190	188	180	214	218	179	176	161	144	151	177	1823	10280	
"Germany"	201	270	245	261	238	182	205	170	207	244	216	334	308	321	276	306	209	201	282	348	1526	4381	
"Spain"	209	314	264	274	241	232	226	360	341	434	434	401	362	364	350	418	403	346	423	433	1515	3497	
"Nigeria"	121	137	126	121	120	122	111	92	184	159	116	112	147	171	167	161	186	126	108	124	974	7862	
"United Arab Emirates"	121	112	140	124	120	127	140	120	139	119	131	116	121	119	138	118	134	122	120	121	856	7060	
"Netherlands"	117	238	407	241	254	165	329	306	199	214	343	387	467	424	332	463	357	281	427	238	702	2949	
"Yemen"	132	123	138	145	125	129	118	120	194	157	143	121	170	146	130	142	154	152	132	113	639	5679	
"Latvia"	171	156	197	157	170	197	185	211	218	229	171	165	168	201	175	187	167	172	215	205	587	2862	
"Bangladesh"	132	119	134	127	132	129	128	120	122	133	118	139	124	124	126	128	128	132	133	132	575	4342	
"Italy"	149	134	136	191	137	154	154	247	307	223	196	246	236	519	607	584	399	495	380	340	550	1617	
"South Africa"	168	153	143	162	144	193	142	131	155	210	194	185	162	160	176	182	162	168	301	245	494	2018	
"Finland"	251	238	212	208	244	198	239	235		371	231	236	239	234	242	238	234	284	248	228	442	1937	
"Panama"	149	195	177	289	160	213	169	422	278	239	335	322	162	176	192	225	140	151	192	177	425	2402	
"Canada"	136	98	149	126	141	147	115	153	140	114	188	158	142	122	142	141	126	151	197	191	386	2019	
"Portugal"	236	278	172	284	176	162	227	184	401	389	182	346	515	313	419	398	175	264	605	161	380	2357	
"Iran, Islamic Republic of"	534	231	233	237	239	217	151		146	127	156	179	191	245	242	180	194	223	174	117	374	3192	
"Iraq"					130	118	108	92	113	112	112	99	126		115	89	86	117	131	120	347	2897	
"Singapore"	123	131	346	393	122	217	147	410	296	109	121	274	127	148	149	221	138	156	153	131	319	2431	
"Poland"	243	238	244	263	223	239	282	239	227	289	240	352	225	316	281	296	263	348	328	250	312	1248	
"Greece"	172	87		155	139	239	85	538	101	139	129	275	247	310	197	267	274	442	250	193	300	1555	
"Hungary"	210	144	186	280	198	196	260	308	285	286	221	259	219	323	250	268	263	289	285	288	230	800	
"Malaysia"	125	115	186	193	130	142	121	152	103	374	188	102	123	405	130	162	184	119	166	137	213	1552	
"Kuwait"	150	161		167	140	166	158	153	163	155	142	159	197	148	157	142	168	126	155	167	208	1246	
"Viet Nam"	120	128	120	142	222	184	164	116	97	126	144	130	140	284	135	667	114	212	125	114	208	1832	
"Djibouti"		116	131				126	134		138	141	142	129	143		139	143	142	142	141	195	1380	
