Importers	2010-M04-Exported unit value, US Dollar/Kilograms	2010-M05-Exported unit value, US Dollar/Kilograms	2010-M06-Exported unit value, US Dollar/Kilograms	2010-M07-Exported unit value, US Dollar/Kilograms	2010-M08-Exported unit value, US Dollar/Kilograms	2010-M09-Exported unit value, US Dollar/Kilograms	2010-M10-Exported unit value, US Dollar/Kilograms	2010-M11-Exported unit value, US Dollar/Kilograms	2010-M12-Exported unit value, US Dollar/Kilograms	2011-M01-Exported unit value, US Dollar/Kilograms	2011-M02-Exported unit value, US Dollar/Kilograms	2011-M03-Exported unit value, US Dollar/Kilograms	2011-M04-Exported unit value, US Dollar/Kilograms	2011-M05-Exported unit value, US Dollar/Kilograms	2011-M06-Exported unit value, US Dollar/Kilograms	2011-M07-Exported unit value, US Dollar/Kilograms	2011-M08-Exported unit value, US Dollar/Kilograms	2011-M09-Exported unit value, US Dollar/Kilograms	2011-M10-Exported unit value, US Dollar/Kilograms	2011-M11-Exported unit value, US Dollar/Kilograms	Exported value in 2011-M11, US Dollar thousand	Exported quantity in 2011-M11, Kilograms	
"World"	3.32	3.34	3.49	3.57	3.48	3.48	3.45	3.70	3.75	3.69	3.75	3.86	3.78	3.72	3.75	3.94	3.86	4.01	4.06	3.96	146034	36846816	
"Japan"	5.39	5.44	5.53	5.52	5.58	5.57	5.38	5.60	5.64	5.38	5.20	5.46	5.65	5.74	5.82	6.15	6.13	6.43	6.35	6.43	24261	3772411	
"Russian Federation"	2.83	3.08	3.25	3.16	3.19	3.08	2.93	2.97	2.98	3.21	3.26	3.34	3.68	3.30	3.02	3.34	3.32	3.72	3.81	3.63	11443	3151924	
"Germany"	4.11	3.99	4.19	4.56	4.76	4.83	4.22	5.31	5.54	5.64	5.79	5.47	5.02	4.93	5.85	4.78	5.28	4.02	4.44	4.07	8325	2045777	
"Italy"	2.55	2.51	2.58	2.54	2.67	2.72	2.73	3.16	3.41	3.49	2.95	2.76	2.90	2.96	2.84	3.01	3.22	2.95	2.79	2.88	8302	2886159	
"United States of America"	3.37	3.12	3.37	3.37	3.35	3.22	3.25	3.26	3.27	3.52	3.10	3.80	3.95	4.01	4.02	4.04	3.79	3.96	3.85	3.92	7574	1933039	
"Netherlands"	2.73	2.82	2.81	2.80	2.99	2.90	2.92	2.97	2.79	2.76	2.82	2.78	2.74	2.75	2.86	2.84	2.95	3.09	3.39	3.58	7048	1966196	
"France"	3.21	3.45	3.26	3.13	3.13	3.42	3.68	3.67	3.39	3.64	3.44	3.62	3.80	3.58	3.49	3.67	3.36	3.61	4.00	3.87	6581	1698385	
"United Kingdom"	3.18	3.13	3.41	3.18	3.41	2.95	2.84	3.00	3.19	3.34	3.88	3.87	3.77	4.08	3.57	3.93	3.60	3.54	3.65	3.85	6447	1676346	
"Venezuela, Bolivarian Republic of"	2.76	3.75	3.72	3.85	3.99	3.80	3.88	3.02	3.12	3.31	3.22	3.78	3.71	3.69	3.79	3.76	3.74	3.83	3.98	4.00	6286	1573437	
"Australia"	3.39	3.32	3.58	3.49	3.43	3.49	3.71	3.51	3.64	3.69	4.02	4.07	4.16	3.86	3.67	3.87	4.26	4.03	4.29	4.57	4499	983987	
"South Africa"	3.23	3.25	3.29	3.02	2.75	2.88	2.96	3.15	2.66	3.35	3.53	3.35	3.23	3.48	3.40	3.44	3.31	3.47	3.47	3.17	4117	1300454	
"Canada"	2.72	2.89	3.00	2.93	2.97	2.93	2.94	3.08	2.92	2.97	2.93	3.00	3.55	4.24	3.79	4.37	3.82	3.80	4.25	4.19	4077	972387	
"Iran, Islamic Republic of"	3.11	2.88	2.87	2.89	2.90	3.37	3.06	3.50	2.81	3.03	2.89	2.96	3.10	3.18	3.16	3.73	3.18	3.13	3.93	3.76	3924	1044566	
"Spain"	3.15	3.13	3.47	3.58	3.26	3.47	3.46	3.77	3.32	3.43	3.52	3.37	3.41	3.82	3.72	3.57	3.64	3.84	3.75	4.17	3608	864769	
"Saudi Arabia"	2.84	2.98	2.79	2.90	2.82	2.81	3.12	3.04	2.78	2.93	2.91	2.95	2.75	2.86	3.08	3.10	3.19	3.32	3.39	3.38	3393	1004873	
"Turkey"	3.43	3.41	3.29	5.05	4.31	4.07	3.99	3.50	5.08	4.47	3.38	5.53	4.88	4.87	4.51	4.26	4.52	3.98	3.57	4.20	2372	564404	
"Bangladesh"	2.91	2.69	2.84	2.76	2.84	2.79	2.82	2.84	2.80	2.78	2.68	2.95	2.79	2.82	2.85	2.82	2.96	2.94	3.05	3.08	2202	715820	
"Nigeria"	3.12	3.16	2.89	2.98	3.28	3.07	3.04	3.08	2.92	3.01	2.99	3.16	3.19	3.13	3.12	3.25	3.28	3.26	3.36	3.44	2137	621728	
"Tunisia"		2.59	2.59	2.46	2.28	2.61	2.65		2.54	2.34		2.52	2.37		2.62	3.60	3.21	3.17	2.63	2.85	2113	741720	
"Chile"	3.33	3.42	3.21	3.46	2.94	2.81	3.00	3.06	2.48	3.25	3.71	3.38	3.51	3.30	3.35	3.75	3.69	4.05	3.66	3.71	2057	554382	
"Malaysia"	3.60	3.85	4.03	3.79	3.57	3.56	3.37	3.42	4.19	4.07	3.97	3.73	3.76	3.52	5.17	4.31	4.33	4.14	5.12	4.12	1359	329614	
"United Arab Emirates"	2.77	2.76	3.03	2.94	2.80	2.89	2.87	2.66	3.10	2.97	2.97	2.86	3.12	3.15	3.07	3.06	2.89	3.20	3.19	3.50	1118	319801	
"Algeria"	2.17	2.41	2.58	2.53	2.55	2.74		3.09	3.00	2.89	2.26	2.74	3.62	3.03	2.94	3.24	3.56	4.36		3.47	975	281375	
"Poland"	3.26	3.75	3.07	2.90	2.91	3.09	3.34	3.13	2.82	3.09	3.50	3.87	3.04	3.50	3.44	3.44	3.83	4.24	3.79	3.95	938	237602	
"Hong Kong, China"	3.42	3.38	3.82	3.41	3.37	3.62	3.28	3.59	3.55	3.64	4.16	3.20	3.41	3.74	3.90	3.42	4.12	3.71	3.74	4.50	934	207337	
"Sweden"	2.76	2.96	3.08	3.42	3.14	3.72	3.16	3.50	2.96	3.62	4.53	3.47	5.07	3.49	3.25	4.95	4.22	6.81	5.12	5.65	930	164587	
"Kazakhstan"	3.41	3.10	3.04	3.59	3.19	3.16	3.04	3.23	3.18	3.13	3.11	3.31	3.27	3.44	3.16	3.24	3.57	3.41	3.68	4.00	904	225780	
"Indonesia"	4.01	3.49	3.53	3.71	3.93	4.65	4.92	4.11	4.29	3.87	4.07	4.47	4.20	4.61	4.18	4.99	5.64	5.47	5.01	5.04	866	171968	
"Portugal"	3.23	2.73	2.82	2.94	2.87	3.05	2.98	2.86	3.10	3.24	3.56	2.85	3.64	2.88	2.87	3.10	3.57	3.54	3.17	3.40	800	235581	
"Greece"	3.03	2.94	3.25	2.64	2.98	2.92	2.97	3.21	3.14	3.75	3.05	3.24	3.22	3.22	3.03	3.51	3.42	3.92	3.27	4.13	732	177151	
"New Zealand"	3.56	3.23	3.62	3.94	3.94	3.57	4.08	3.57	3.57	3.44	3.63	3.95	3.69	3.70	3.78	3.87	3.97	3.91	4.23	3.67	658	179094	
"Viet Nam"	4.75	6.30		4.45	3.92	4.16	3.99	4.61	5.27	3.09	1.88	4.81	3.90	2.78	2.77	3.88	2.99	2.95	4.44	3.11	644	206818	
"Romania"	2.46	2.87	2.57	3.32	2.76	2.97	3.29	3.26	2.63	3.41	3.57	3.35	3.50	3.37	3.48	3.61	3.96	3.89	3.79	3.67	642	174915	
"Macao, China"															7.14	9.26			5.95	6.78	534	78780	
