Importers	2008-M09-Exported unit value, US Dollar/Units	2008-M10-Exported unit value, US Dollar/Units	2008-M11-Exported unit value, US Dollar/Units	2008-M12-Exported unit value, US Dollar/Units	2009-M01-Exported unit value, US Dollar/Units	2009-M02-Exported unit value, US Dollar/Units	2009-M03-Exported unit value, US Dollar/Units	2009-M04-Exported unit value, US Dollar/Units	2009-M05-Exported unit value, US Dollar/Units	2009-M06-Exported unit value, US Dollar/Units	2009-M07-Exported unit value, US Dollar/Units	2009-M08-Exported unit value, US Dollar/Units	2009-M09-Exported unit value, US Dollar/Units	2009-M10-Exported unit value, US Dollar/Units	2009-M11-Exported unit value, US Dollar/Units	2009-M12-Exported unit value, US Dollar/Units	2010-M01-Exported unit value, US Dollar/Kilograms	2010-M02-Exported unit value, US Dollar/Kilograms	2010-M03-Exported unit value, US Dollar/Kilograms	2010-M04-Exported unit value, US Dollar/Kilograms	Exported value in 2010-M04, US Dollar thousand	Exported quantity in 2010-M04, Kilograms	
"World"	211	206	205	215	196	227	216	208	224	272	257	266	235	228	249	263	3.69	3.90	4.05	3.76	27314	7264821	
"United States of America"	100	176	189	202	243	247	232	239	310	270	236	228	160	200	255	236	4.46	4.76	4.74	4.81	4993	1037044	
"United Kingdom"	256	221	199	172	237	219	270	213	205	213	214	317	234	223	224	220	4.40	4.72	4.89	4.41	1952	442461	
"Philippines"	421	1452	669	436	283	535	447	278	366	678	305	363	411	589	293	467	4.45	4.50	4.36	4.50	1382	307324	
"Indonesia"	280	172	192	395	244	202	195	253	271	215	193	178	210	189	198	160	3.31	3.35	3.56	3.40	1371	402732	
"Australia"	405	265	413	178	351	299	694	411	162	381	338	330	343	312	247	297	4.29	4.30	4.05	4.61	1238	268833	
"France"	224	197	174	150	175	212	176	209	235	252	258	201	233	284	254	206	3.30	3.47	3.52	3.56	1166	327491	
"Italy"	190	203	178	170	102	156	112	196	188	207	276	283	243	262	253	221	3.14	5.23	3.86	3.56	1164	326984	
"Germany"	195	73	165	177	140	142	136	180	75	182	218	236	213	72	117	229	4.61	4.16	4.41	4.42	873	197732	
"Hong Kong, China"	429	584	217	461	81	757	392	639	345	479	383	637	370	572	556	320	4.05	5.05	5.02	4.98	728	146115	
"Viet Nam"	275	221	293	653	276	167	191	221	349	305	211	226	181	238	569	263	3.08	7.28	3.31	2.49	660	265558	
"Spain"	140	155	67	134	180	158	157	95	141	166	211	120	235	182	72	265	3.19	3.45	3.09	3.07	614	199911	
"United Arab Emirates"	291	440	478	310	444	251	670	408	278	543	296	243	499	282	425	368	3.45	3.42	3.86	3.69	573	155440	
"Argentina"	100	75	333		519	192	150	258	190	260	259	264	256	448		100		4.05	4.05	2.53	557	220376	
"Singapore"	265	262	308	273	605	469	214	309	628	236	526	350	368	314	619	254	5.77	5.55	4.73	4.80	527	109840	
"Algeria"	316				211	295	260	226	153	232	267		677	333	426		3.77	3.65		3.10	467	150824	
"Ukraine"	417	152	150	129		251	164	228	233			223	800	500		250	2.52	6.21	3.95	2.97	454	152950	
"Japan"	319	303	298	266	246	396	234	83	243	261	213	249	329	358	237	358	6.58	7.29	5.78	5.30	396	74661	
"Denmark"	231	253	278	267	100	31	184	172	202	206	205	220	209	166	207	108	3.70	2.89	3.01	3.41	381	111677	
"Iraq"	148	232	152	245	155	191	200	163	172	204	199	230	169	185	207	163	3.45	2.84	2.87	2.89	365	126382	
"Netherlands"	180	295	244	265	340	176	247	194	184	235	172	227	303	147	146	320	4.17	3.81	4.07	3.57	352	98662	
"South Africa"	465	387	423	693	144	281	440	621	318	359	375	534	544	232	234	389	5.21	5.20	3.42	3.55	351	98745	
"Saudi Arabia"	239	242	187	405	407	2436	257	537	302	275	302	436	327	287	287	1042	3.79	3.53	3.82	3.24	341	105231	
"Malaysia"	224	172	303	348	247	223	233	208	220	201	315	272	195	514	247	562	3.43	4.29	4.25	5.79	322	55582	
"Sudan (before 2012)"			1273		167	711	302	263	300		198			125	227	158	2.51	4.15		2.23	317	142450	
"Chile"	431	260	217	349	278	376	563	310	296	405	311	302	166	258	242	372	3.19	3.10	3.25	3.60	270	74948	
"Canada"	173	242	171	246	295	181	286	174	255	313	368	273	190	237	244	250	3.81	3.37	3.50	3.81	268	70280	
"Kuwait"	615	1191	600	969	674	167	171	307	385	205	690	294		176	1500	1429	3.28	4.87	5.91	2.98	248	83198	
"Tanzania, United Republic of"		1000		375		165	192	197		405	318		148	318	3000	190	4.58		2.39	3.41	242	71016	
"Kazakhstan"	205	574	150	1802	231	413	183	193	139	277	215	513	233	284	1070	421	4.99	3.46	3.98	3.70	227	61296	
"Thailand"	477	273	289	171	288	232	152	223	233	246	242	211	241	231	315	318	3.04	2.91	2.82	2.79	215	77022	
"Korea, Republic of"	268	155	177	149	198	257	247	227	95	378	275	235	256	166	160	170	3.97	2.53	2.54	3.00	207	68965	
"India"	789	212	348	467	181	217	240	438	410	960	828	483	347	306	855	547	5.14	4.44	3.62	3.82	197	51582	
"Brazil"	112	164	72	199		118	54	167		96	45	215	214	172	160	277	2.47	4.05	3.47	3.08	180	58376	
"Russian Federation"	225	314	140	154	157	281	263	196	158	1596	266	193	352	206	203	253		4.56	3.60	3.11	177	56912	
"Kyrgyzstan"		405	267		184	211	207	201	211	199	209	204	226	400	450		3.26	2.93	2.74	3.33	159	47764	
"Yemen"	341		185	234	204		211	203	222	348	444	313	211	174	479	274	2.66	1.92	3.58	2.81	158	56261	
"Austria"			140	139		170	174	58	92	90		130		167		200		5.44	5.03	3.31	155	46800	
"Norway"	166	65	128	165	142	255	598	282	233	183	249	253	91	218	101	251	4.30	3.58	3.26	4.32	131	30309	
"Hungary"	533	268		197	55	67	58	75	481	153	264	171	213	144	174	271	3.07		4.93	3.19	129	40485	
"Lebanon"	838	254		524	174	571	301		245	1439	536	211	282	547	314	210	3.23	4.38	3.22	5.97	126	21090	
"Israel"	689	657	4000	172	221	75	320	236	76	123	120	158	476	429	144	338	3.73	3.97	4.20	4.23	125	29532	
"Nigeria"	225	186	127	212	137	234	136	170	157	431	373	243	265	196	117	316	2.77	3.10	3.06	3.92	119	30346	
"Afghanistan"									267	267	1200	400					3.50		3.28	3.31	118	35597	
