Importers	2011-M11-Exported unit value, US Dollar/Kilograms	2011-M12-Exported unit value, US Dollar/Kilograms	2012-M01-Exported unit value, US Dollar/Kilograms	2012-M02-Exported unit value, US Dollar/Kilograms	2012-M03-Exported unit value, US Dollar/Kilograms	2012-M04-Exported unit value, US Dollar/Kilograms	2012-M05-Exported unit value, US Dollar/Kilograms	2012-M06-Exported unit value, US Dollar/Kilograms	2012-M07-Exported unit value, US Dollar/Kilograms	2012-M08-Exported unit value, US Dollar/Units	2012-M09-Exported unit value, US Dollar/Units	2012-M10-Exported unit value, US Dollar/Units	2012-M11-Exported unit value, US Dollar/Units	2012-M12-Exported unit value, US Dollar/Units	2013-M01-Exported unit value, US Dollar/Kilograms	2013-M02-Exported unit value, US Dollar/Kilograms	2013-M03-Exported unit value, US Dollar/Kilograms	2013-M04-Exported unit value, US Dollar/Kilograms	2013-M05-Exported unit value, US Dollar/Kilograms	2013-M06-Exported unit value, US Dollar/Kilograms	Exported value in 2013-M06, US Dollar thousand	Exported quantity in 2013-M06, Kilograms	
"World"	4.69	4.49	4.50	4.46	4.53	4.41	4.43	4.54	4.55	362	358	366	367	367	4.69	4.74	4.63	4.55	4.66	4.50	50025	11124008	
"United States of America"	6.04	5.62	5.65	5.83	6.20	5.80	5.45	5.85	5.64	444	382	361	629	482	5.88	5.83	6.05	5.74	5.07	5.41	7006	1295477	
"Australia"	5.21	5.61	5.74	6.01	5.98	6.16	5.56	6.32	5.88	612	569	620	587	653	6.69	7.51	6.29	6.28	6.35	6.50	3976	611571	
"Indonesia"	3.64	3.54	3.77	4.07	3.72	4.10	3.92	3.86	3.62	234	237	266	253	235	3.55	3.97	3.82	4.03	3.73	3.72	3110	835895	
"Italy"	4.96	5.85	5.18	4.59	7.64	6.03	6.51	7.87	3.84	245	234	243	254	225	4.97	6.28	5.97	5.39	5.17	5.39	2687	498073	
"United Kingdom"	4.37	4.62	4.68	4.59	5.12	4.76	4.26	4.40	4.40	341	254	285	187	344	4.95	5.06	4.87	4.71	4.94	4.64	2220	478926	
"United Arab Emirates"	4.83	4.15	3.94	3.97	3.82	4.19	4.00	3.35	4.42	369	349	502	390	322	4.68	4.50	3.49	3.57	4.10	3.47	1699	489532	
"Viet Nam"	2.70	3.60	3.24	3.08	3.34	3.33	3.20	3.23	4.20	282	370	237	249	318	3.42	3.77	3.07	3.28	3.26	3.56	1353	380365	
"Germany"	4.91	5.18	4.45	4.60	4.44	5.13	4.15	4.64	5.62	309	378	203	229	245	6.61	6.84	5.75	4.65	6.06	5.48	1352	246717	
"Saudi Arabia"	5.17	3.64	4.00	4.53	3.79	4.03	4.23	4.12	4.13	490	391	388	460	489	3.57	4.08	4.99	4.21	4.92	3.97	1242	313008	
