Importers	Exported value in 2016-M08	Exported value in 2016-M09	Exported value in 2016-M10	Exported value in 2016-M11	Exported value in 2016-M12	Exported value in 2017-M01	Exported value in 2017-M02	Exported value in 2017-M03	Exported value in 2017-M04	Exported value in 2017-M05	Exported value in 2017-M06	Exported value in 2017-M07	Exported value in 2017-M08	Exported value in 2017-M09	Exported value in 2017-M10	Exported value in 2017-M11	Exported value in 2017-M12	Exported value in 2018-M01	Exported value in 2018-M02	Exported value in 2018-M03	
"World"	196242	187071	174329	202012	175358	173270	175086	237169	232929	279943	273219	250030	246910	236032	206469	218433	201919	202486	191772	262197	
"United States of America"	29492	40129	35445	40289	28289	29779	24395	29347	37600	46635	45745	34123	36842	41637	39061	35783	30844	27930	23639	36231	
"Japan"	24241	21424	21753	21040	15556	20518	26540	35208	23154	28575	35525	41151	28446	30823	13724	21023	18014	36513	20320	32171	
"France"	9009	9859	7136	9447	7521	7691	9432	16301	9601	17172	14448	14366	10792	8706	10964	9481	12252	7910	6642	12391	
"United Kingdom"	13443	10695	12567	13908	12372	12786	12007	12493	8924	12955	13279	13762	17149	16072	17063	16218	11329	10737	11788	11246	
"Korea, Republic of"	8250	6758	3735	4323	4561	3398	5304	6093	7809	6079	7821	8371	9226	9099	4065	2955	3711	3878	4122	9621	
"Canada"	3980	3100	3856	3205	3188	2150	3487	3436	5346	6595	6382	4914	5013	6243	7016	7865	3973	3626	3149	8580	
"Australia"	8144	8143	10752	11103	8118	8432	6980	7731	9110	11333	8418	6686	8962	9206	11640	9489	12027	8520	7276	8396	
"Spain"	4006	4657	4358	3331	4556	2395	4102	6639	6355	9840	10062	7737	5916	4424	3687	4814	5285	4705	2929	7923	
"Poland"	3113	4271	3867	4266	4697	4758	4017	4206	7313	8132	6587	5531	5752	6285	5033	8933	8381	5707	4842	7902	
"Italy"	5598	4042	2405	3141	4547	3694	5255	8426	5350	8878	5694	6673	6427	3917	6154	4659	3579	3591	11774	7898	
"Netherlands"	3336	3104	3157	3404	4039	3672	3579	4991	3137	6276	4908	4680	5662	3152	5909	4318	4424	4705	4476	7396	
"South Africa"	5147	4032	3881	4741	3900	4027	3924	6807	4614	6496	7024	5655	4417	4722	6266	4600	5423	6185	4768	6859	
"Germany"	10698	5092	5941	7630	7561	5240	4778	8488	9876	11174	9653	7998	9465	8742	9799	7228	7528	5806	7049	6703	
"Iraq"	5318	1490	2475	3029	2609	4808	6098	6671	5011	8630	7427	5648	4878	1722	2005	3965	3650	5711	7593	6598	
"India"	4685	5607	1439	2170	2247	3182	4154	8317	5915	2660	2572	4587	12165	11081	3493	2449	2843	1320	4116	6226	
"Russian Federation"	3839	3378	2579	3065	2697	3820	2917	2535	3550	3895	4956	4229	3710	3643	3921	3706	5027	5811	3947	5490	
"Bangladesh"	3871	1199	935	1856	2353	2875	2092	2219	3598	7281	9440	5766	3445	522	672	1254	1081	1379	4590	5262	
"Saudi Arabia"	2743	4410	2809	3299	2447	6908	3827	6637	6799	9305	3879	4755	3835	1325	2428	1326	2158	4015	3971	5181	
"Chile"	2009	3520	3887	4646	4285	2186	2869	3362	3856	3774	4634	3106	4336	6196	3405	3956	4446	3266	2939	4172	
"Algeria"	4138	2040	4528	4722	6395	7132	1761	8651	9860	2155	1251	2825	2418	2917	1873	690	106	2591	548	3193	
"United Arab Emirates"	1303	1210	1233	2360	2768	878	1752	2665	1759	1816	1797	1864	1556	2158	2496	2246	2514	1792	4465	2869	
"Peru"	320	1250	2108	1097	1349	669	1742	1629	1219	1636	1361	1895	1923	2213	2149	1837	2149	2450	2556	2531	
"Philippines"	983	1460	1040	2065	1343	1916	1469	1756	1702	2119	2075	2401	2171	2532	2178	2920	1891	1719	2352	2478	
"Viet Nam"	964	1073	1698	2523	3450	699	1279	1391	1196	1080	1868	2220	2440	2434	2700	3759	5923	5590	1656	2450	
"Indonesia"	2030	1741	1399	1985	1742	1619	1442	1791	2471	1539	1402	2125	1222	1902	1233	1907	1334	1661	1262	2369	
"Hong Kong, China"	1664	2056	2180	1969	1256	1652	1203	1788	2818	1664	2340	2190	2162	1480	1926	1979	2513	1987	899	2156	
"Portugal"	301	1189	589	742	1002	492	1383	1393	1049	2095	1968	1697	1400	1726	1239	2371	1744	1289	1797	2146	
"Colombia"	1123	1297	950	252	953	568	726	1077	1233	1136	1343	1846	1648	1532	1292	1600	2023	1582	1360	1974	
"Israel"	859	680	721	729	480	1375	1702	1612	2485	1134	1505	1890	740	408	553	995	1406	1481	1186	1755	
"Greece"	906	691	304	786	903	365	496	510	396	797	1009	1245	1061	439	574	635	1023	536	409	1580	
"Ecuador"	515	306	123	299	29	207	374	909	476	679	1195	114	425	0	799	2002	578	540	945	1567	
"Belgium"	879	625	692	802	501	370	359	1462	2455	2182	2629	2037	2165	1619	1227	2876	812	764	424	1444	
"Iran, Islamic Republic of"	2270	2119	2349	2937	5175	1289	1641	3391	4541	5235	4406	2409	2411	3626	2509	3575	1326	1703	3133	1392	
"Panama"	753	1005	691	716	709	445	466	1218	852	1290	1563	736	2164	820	1519	1076	470	501	254	1263	
"Uzbekistan"	507	266	379	265	731	171	732	272	872	551	1071	1631	904	874	800	390	486	403	784	1222	
"Nigeria"	808	784	108	575	504	600	516	611	1145	1241	1827	1052	1016	1469	913	979	1264	1099	1370	1192	
"Malaysia"	1132	545	794	1455	1166	645	685	1233	785	1625	886	682	809	721	705	869	864	777	589	1149	
"New Zealand"	774	1053	653	1343	1542	583	1061	841	642	846	1229	709	1114	1073	1082	1609	1273	1167	803	1146	
"Lebanon"	415	434	404	264	491	607	547	507	878	1088	753	225	299	179	390	359	173	279	698	1069	
"Singapore"	370	577	436	708	777	606	666	852	627	934	661	624	812	565	841	4214	3331	1245	554	1060	
"Turkey"	588	671	532	1663	1046	757	1156	1513	1863	1664	1385	766	578	806	189	679	286	407	379	1059	
"Ukraine"	233	377	151	518	419	278	250	162	329	467	206	329	318	311	461	448	276	656	1064	1043	
"Afghanistan"	54	103	14	5	91	231	35	628	550	427	227	123	67	22	15	32	79	496	352	995	
"Hungary"	103	155	134	26	284	133	59	150	131	162	114	182	49	166	62	135	389	235	331	951	
"Ghana"	884	732	399	668	1020	474	810	895	1118	1374	2064	1591	1418	1343	1703	264	396	934	789	947	
"Dominican Republic"	499	301	812	710	537	316	1029	548	944	591	748	561	1009	1057	838	1474	598	1234	794	886	
"Argentina"	630	420	175	6	0	2	212	308	1390	128	304	1069	574	1700	1119	625	1534	217	536	816	
"Mexico"	829	1466	396	271	245	217	186	210	371	599	547	471	512	1717	917	487	963	873	1534	811	
"Sweden"	229	197	255	259	166	129	203	269	279	477	486	723	343	429	407	466	476	417	294	784	
"Kazakhstan"	102	94	223	82	61	125	44	255	238	253	303	542	368	161	374	349	252	204	157	775	
"Côte d'Ivoire"	150	264	251	319	208	323	87	298	485	676	895	690	658	339	832	347	748	92	991	749	
"Georgia"	211	432	367	746	222	29	244	297	865	705	342	665	167	360	127	267	73	43	481	744	
