Importers	2012-M03-Exported unit value, US Dollar/Kilograms	2012-M04-Exported unit value, US Dollar/Kilograms	2012-M05-Exported unit value, US Dollar/Kilograms	2012-M06-Exported unit value, US Dollar/Kilograms	2012-M07-Exported unit value, US Dollar/Kilograms	2012-M08-Exported unit value, US Dollar/Kilograms	2012-M09-Exported unit value, US Dollar/Kilograms	2012-M10-Exported unit value, US Dollar/Kilograms	2012-M11-Exported unit value, US Dollar/Kilograms	2012-M12-Exported unit value, US Dollar/Kilograms	2013-M01-Exported unit value, US Dollar/Kilograms	2013-M02-Exported unit value, US Dollar/Kilograms	2013-M03-Exported unit value, US Dollar/Kilograms	2013-M04-Exported unit value, US Dollar/Kilograms	2013-M05-Exported unit value, US Dollar/Kilograms	2013-M06-Exported unit value, US Dollar/Kilograms	2013-M07-Exported unit value, US Dollar/Kilograms	2013-M08-Exported unit value, US Dollar/Kilograms	2013-M09-Exported unit value, US Dollar/Kilograms	2013-M10-Exported unit value, US Dollar/Kilograms	Exported value in 2013-M10, US Dollar thousand	Exported quantity in 2013-M10, Kilograms	
"World"	4.42	4.34	4.28	4.21	4.13	4.13	4.18	4.31	4.40	4.39	4.33	4.52	4.20	4.23	4.33	4.25	4.10	4.29	4.16	4.22	71014	16814144	
"United Kingdom"	3.50	3.47	3.63	3.61	3.53	3.61	3.67	3.65	3.69	3.61	3.72	3.81	3.61	3.68	3.67	3.76	3.63	3.65	3.66	3.60	18742	5206943	
"Germany"	6.23	5.94	5.90	5.80	5.58	5.45	5.52	5.76	5.47	5.45	5.35	5.50	5.18	5.38	5.30	5.20	4.81	4.88	4.82	5.16	9654	1870447	
"France"	4.03	3.94	3.89	3.75	3.83	3.88	3.82	4.05	4.11	4.06	4.02	4.05	3.91	3.99	3.94	4.03	3.63	3.91	3.86	3.95	5741	1454890	
"Italy"	3.81	3.92	4.00	3.90	3.74	3.97	3.72	3.79	4.03	3.93	4.16	4.35	3.88	4.05	3.76	3.70	3.57	3.73	3.60	3.87	4080	1055356	
"Israel"	5.13	4.97	5.04	4.79	4.61	4.83	5.19	4.58	5.16	5.49	4.59	6.03	4.89	5.04	5.32	5.45	5.81	5.83	5.38	5.32	3351	630283	
"Algeria"	5	4.78	2.75	2.87	2.70	2.88	2.78	2.72	5.35	6.53		4.37	5.19	3.59	3.90	5.62	3.01	5.51	3.59	3.80	3265	859392	
"Sweden"	4.46	4.57	4.17	4.36	4.33	4.27	4.46	4.71	4.52	4.70	4.34	4.70	4.50	4.69	4.19	4.11	4.09	4.17	4.16	4.38	2993	682705	
"Iraq"	3.80	3.76	3.74	3.81	3.77	4.02	3.93	4.06	3.82	3.85	3.95	3.99	4.13	4.13	3.85	4.02	3.91	3.94	4.10	4.20	2889	688463	
"United States of America"	13	13	13	12	13	12	10	13	13	12	11	11	12	11	11	10	11	11	10	11	2713	241889	
"Spain"	3.99	3.63	3.92	3.81	3.40	3.99	4.00	3.69	4.06	4.03	4.00	3.99	3.97	3.71	3.84	3.75	3.88	3.96	3.97	4.00	1874	468596	
"Australia"	4.92	6.88	11	3.52	4.89	3.64	4.43	4.09	4.71	4.36	4.73	4.59	4.54	4.95	4.44	4.24	4.83	4.34	4.49	4.39	1317	299888	
"Poland"	4.04	4.28	3.85	3.58	3.68	3.46	3.52	3.52	3.52	3.66	4.01	4.29	3.96	3.88	3.91	3.90	3.94	3.79	3.87	3.89	1290	331602	
"Libya, State of"	3.58	3.67	3.60	3.50	3.31	3.38	3.46	3.96	3.53	3.62	3.87	3.98	3.86	3.83	4.05	3.94	3.79	4.11	4.21	4.07	1064	261116	
"China"	4.21	5.19	5.22	4.29	4.27	4.30	4.13	4.71	3.57	4.57	4.25	4.65	4.13	4.93	4.43	4.50	3.55	4.02	3.40	3.73	740	198189	
"Netherlands"	4.16	3.95	3.88	4.36	4.12	4.28	4.61	4.38	4.48	4.67	4.13	4.18	3.98	4.04	4.27	3.93	3.90	4.48	4.10	4.23	736	173898	
"Georgia"	4.24	4.38	5.20	4.06	4.04	3.96	4.73	4.85	5.01	4.96	4.39	4.19	4.27	4.98	4.48	4.22	4.52	4.44	4.54	4.84	731	151040	
"Romania"	4.00	3.88	3.78	3.67	3.57	3.66	3.83	3.66	3.84	4.22	3.95	4.07	4.02	3.99	3.78	3.76	3.62	3.88	3.61	4.05	679	167855	
"United Arab Emirates"	4.77	4.86	4.90	4.60	4.51	4.70	4.70	4.56	4.81	4.35	4.47	2.69	3.12	4.09	2.91	3.23	7.11	4.59	4.48	4.86	669	137607	
"Azerbaijan"	5.82	5.78	6.28	5.55	4.49	4.71	4.99	5.48	6.60	6.17	6.02	5.86	5.95	5.88	6.79	5.91	6.06	6.60	6.71	6.38	588	92105	
"Argentina"				5.40		3.55	4.38	4.22	4.12	4.34		3.69	4.18	3.46	3.39			3.55	3.97	4.75	572	120456	
"Russian Federation"	4.14	4.35	2.74	2.80	4.28	3.82	3.53	3.50	4.38	3.05	3.78	5.06	4.02	3.17	4.68	2.88	2.90	3.32	3.03	2.96	510	172450	
"Greece"	4.35	4.26	4.85	4.48	4.38	4.33	4.24	4.19	4.50	4.68	4.44	4.75	4.34	4.22	4.49	4.39	4.23	4.16	4.11	4.12	459	111517	
"Portugal"	3.78	3.58	3.47	3.52	3.49	3.46	3.80	3.71	3.80	4.10	3.91	3.67	3.72	3.69	2.84	3.76	3.60	3.53	3.52	3.40	444	130501	
"Ireland"	3.44	3.55	3.71	3.60	3.46	3.40	3.35	3.74	3.64	3.71	3.90	4.23	3.72	3.65	4.41	3.47	3.83	3.85	3.94	4.00	340	84994	
"Hungary"	3.69	3.99	3.71	3.42	3.32	3.42	3.47	3.59	3.42	3.32	4.05	4.15	4.15	3.48	3.87	3.68	3.79	4.00	3.83	4.17	303	72626	
"Ukraine"	4.04	3.83	3.41	3.72	3.79	3.79	3.44	3.90	4.05	3.85	4.85	4.34	4.24	3.65	3.54	3.77	3.15	3.99	4.11	3.68	300	81558	
"India"		4.36	3.19	4.16	2.41	4.20	2.34	2.94	2.51	2.53	2.70	2.62	3.05	3.48	2.44	3.28	4.45	4.83	4.95	4.99	275	55072	
"Kazakhstan"	7.87	7.73	6.85	7.05	7.07	7.26	7.12	7.50	7.75	6.37	6.57	6.49	5.83	7.07	7.66	7.08	5.89	6.72	7.09	6.06	274	45193	
