Importers	Exported value in 2008-M02	Exported value in 2008-M03	Exported value in 2008-M04	Exported value in 2008-M05	Exported value in 2008-M06	Exported value in 2008-M07	Exported value in 2008-M08	Exported value in 2008-M09	Exported value in 2008-M10	Exported value in 2008-M11	Exported value in 2008-M12	Exported value in 2009-M01	Exported value in 2009-M02	Exported value in 2009-M03	Exported value in 2009-M04	Exported value in 2009-M05	Exported value in 2009-M06	Exported value in 2009-M07	Exported value in 2009-M08	Exported value in 2009-M09	
"World"	14834	19301	21386	19135	17762	19277	11102	8780	7409	6094	5182	6918	8829	18332	16482	15769	14795	14395	13540	8528	
"Russian Federation"	2592	3158	2424	1123	346	600	468	698	104	318	145	216	24	897	33	308	191	47	1281	1026	
"United Kingdom"	2917	1899	2949	1928	2180	2225	2644	2076	1005	737	653	654	884	852	1563	1073	2084	2302	2280	938	
"Netherlands"	91	212	120	155	372	440	1013	1035	550	580	267	254	608	179	154	483	544	1240	950	807	
"Germany"	539	668	668	582	846	1807	684	478	470	673	424	583	687	853	806	874	918	868	910	804	
"Poland"	12	13	74	85	93	257	162	118	661	259	1	16	24	43	253	55	21	557	551	563	
"Ukraine"	2165	1688	1826	1218	904	1015	823	424	241	46	0	3	488	1365	523	95	138	1272	781	562	
"Iraq"	176	448	290	235	154	610	223	441	350	308	441	623	1135	1552	871	463	952	508	892	385	
"Norway"	48	155	33	8	7	0	15	5	194	28	0	59	32	31	7	139	277	131	233	287	
"Romania"	1904	1760	2376	2630	3333	1570	95	26	82	137	303	28	6	1671	3935	2523	1274	830	284	267	
"Israel"	118	232	285	237	392	268	276	213	194	166	122	157	100	199	159	120	135	226	373	267	
"Azerbaijan"	37	50	68	50	158	38	119	159	160	52	94	104	1	186	480	440	332	298	40	204	
"Denmark"	2	9	245	1	157	283	174	110	184	46	110	421	146	358	619	152	103	542	267	200	
"France"	95	602	386	1027	594	359	107	116	324	206	146	797	255	508	846	946	708	731	586	190	
"Greece"	98	300	246	191	199	286	159	72	111	162	79	80	51	197	228	211	291	184	254	183	
"Belgium"	67	97	86	113	162	175	194	235	285	182	167	329	147	171	275	189	289	190	250	169	
"Georgia"	76	329	229	380	497	917	118	17	234	347	126	20	143	1073	524	653	492	307	112	153	
"Kazakhstan"	770	861	1027	265	459	80	9	387	338	279	146	297	877	1216	297	349	78	154	421	153	
"United States of America"	214	240	214	1164	222	637	499	143	253	74	126	342	310	38	200	206	53	95	434	111	
"Switzerland"	85	79	58	33	37	173	25	3	11	155	22	130	127	83	78	197	110	71	3	105	
"Spain"	19	147	79	1	24	365	207	45	93	32	23	102	50	302	126	253	134	412	118	101	
"Egypt"	0	0	49	0	50	3	0	30	26	3	2	6	0	11	27	0	51	69	0	97	
"Slovakia"	0	0	31	0	20	30	48	0	8	0	24	32	32	36	200	61	0	140	190	75	
"Syrian Arab Republic"	0	2	0	39	10	0	0	0	0	17	57	9	4	51	52	1	9	5	0	73	
"Australia"	80	27	5	25	0	218	78	136	71	7	18	24	22	87	12	19	119	26	153	60	
"Austria"	660	613	851	907	326	721	250	11	119	127	197	256	116	240	276	85	209	38	60	59	
"Cyprus"	30	45	225	78	204	69	93	54	30	49	19	44	37	302	107	196	175	207	73	58	
"Kenya"	0	0	0	30	51	7	30	0	21	39	18	81	37	0	0	0	3	55	0	52	
"Iran, Islamic Republic of"	1	0	0	0	0	50	8	39	22	0	83	77	0	123	61	332	536	326	71	50	
"Portugal"	0	19	269	126	22	164	27	19	35	31	58	235	1	369	312	337	185	54	21	47	
"United Arab Emirates"	1	6	20	7	16	126	56	9	16	22	5	32	0	64	0	21	35	90	58	43	
"Afghanistan"	0	0	0	2	117	0	4	22	0	0	0	0	5	0	0	15	0	3	0	39	
"Free Zones"	50	113	3	74	69	93	32	27	27	28	8	15	159	15	117	131	265	45	29	37	
"Macedonia, The Former Yugoslav Republic of"	1	0	167	37	28	174	64	32	8	0	16	17	0	15	302	278	112	21	0	36	
"Turkmenistan"	8	0	0	9	22	4	97	57	13	49	34	3	95	74	161	12	85	125	59	35	
"Ireland"	85	91	163	181	83	101	93	295	37	105	60	156	28	115	47	149	87	71	46	35	
"Croatia"	0	1602	2077	960	260	3	0	0	138	2	67	0	1	295	74	162	797	87	7	35	
"Kyrgyzstan"	0	0	39	0	70	0	211	225	0	0	0	0	0	413	0	0	28	1	0	28	
"Bulgaria"	168	404	663	1217	1060	1089	345	100	29	29	37	1	56	547	384	346	428	449	117	27	
"Serbia"	738	974	1128	1287	1316	445	272	5	28	1	89	0	6	130	320	297	409	60	85	22	
"Jordan"	0	25	0	0	0	222	12	4	0	13	25	12	1	0	30	64	5	0	2	21	
"Hungary"	175	85	206	169	51	305	55	62	102	88	123	48	24	32	82	80	107	126	31	21	
"Zambia"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19	
"Italy"	298	219	122	452	559	939	219	223	95	200	74	27	241	265	370	661	246	429	269	18	
"Hong Kong, China"	5	4	9	0	1	17	2	0	19	14	0	64	14	0	0	14	0	0	12	14	
"Lebanon"	0	145	5	0	0	9	7	0	60	10	0	0	250	4	36	131	10	0	0	14	
"Japan"	12	0	0	0	20	6	0	4	7	0	19	44	0	5	21	12	4	0	0	9	
"Morocco"	0	63	1	0	14	12	0	0	48	1	31	4	0	70	15	9	13	26	14	9	
"Libya, State of"	6	573	8	1	44	6	18	101	40	19	12	4	494	6	192	258	97	150	342	8	
"Mali"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	
"Uzbekistan"	0	0	0	28	10	31	74	172	125	28	27	8	162	0	366	251	75	81	0	4	
"Sweden"	0	30	218	758	354	134	79	15	46	110	47	158	532	1140	342	724	492	0	323	3	
"Singapore"	5	0	0	0	0	2	0	7	0	9	0	0	5	20	0	0	1	0	3	1	
"Sudan (before 2012)"	0	0	0	5	1	1	13	0	0	0	0	0	0	0	3	14	0	0	0	1	
"Senegal"	8	0	0	5	0	11	23	18	0	0	9	13	0	20	9	0	0	28	0	1	
"Saudi Arabia"	17	93	282	4	410	63	351	20	96	62	213	299	3	491	83	433	135	134	120	0	
"Qatar"	0	0	7	32	0	0	0	0	0	0	4	14	0	12	0	5	0	0	0	0	
"Pakistan"	0	0	0	0	0	1	19	0	0	0	0	0	0	0	0	0	8	0	0	0	
"Peru"	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
"Lithuania"	1	0	2	63	0	0	0	0	0	6	0	0	0	0	0	0	156	0	8	0	
"Luxembourg"	0	0	0	7	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	
"Madagascar"	63	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
"Malawi"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
"Malaysia"	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	
"Maldives"	0	0	6	0	22	0	0	2	1	0	0	0	0	0	0	0	1	0	0	0	
"Oman"	0	0	0	0	0	0	0	0	0	0	2	0	0	8	2	0	0	0	0	0	
"Nepal"	0	0	0	0	0	0	0	0	0	0	0	0	10	14	0	0	0	0	0	0	
"New Zealand"	54	0	0	0	0	0	0	0	25	0	13	0	0	0	0	0	8	0	13	0	
"Nigeria"	0	0	3	0	1	0	0	68	0	8	0	0	0	0	0	18	0	11	0	0	
"Seychelles"	0	0	0	0	0	0	8	0	0	0	0	0	11	0	0	0	0	0	0	0	
"India"	0	0	0	0	13	0	0	0	0	0	0	0	0	3	0	0	8	18	3	0	
"Viet Nam"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
"Slovenia"	0	0	13	0	0	56	0	0	0	0	14	0	0	3	0	40	29	125	0	0	
"South Africa"	0	0	0	29	0	0	3	0	3	0	0	5	0	0	43	0	0	0	0	0	
"Tunisia"	0	103	4	0	0	83	0	0	0	54	3	0	20	0	0	17	8	0	0	0	
"Tajikistan"	0	11	0	7	33	1	14	0	1	0	0	0	0	0	0	0	0	0	0	0	
"Thailand"	0	0	0	0	0	0	1	7	0	37	0	0	0	0	22	7	0	0	5	0	
"Togo"	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	
"Venezuela, Bolivarian Republic of"	0	0	0	0	0	59	0	0	0	0	0	0	0	0	0	4	0	4	0	0	
"Yemen"	0	0	58	30	0	0	50	0	0	0	0	0	0	0	0	0	0	0	0	0	
"Burkina Faso"	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	
"Uganda"	0	0	0	0	0	3	0	5	0	0	0	0	49	0	0	0	0	0	0	0	
"Tanzania, United Republic of"	0	0	0	1	7	0	28	3	2	0	15	0	0	31	4	0	3	0	0	0	
"Malta"	0	70	3	1	29	0	0	0	0	0	0	0	79	0	3	6	22	3	0	0	
"Mauritania"	34	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
"Mauritius"	0	0	0	0	0	0	5	0	0	0	0	0	0	3	0	0	0	0	4	0	
"Mexico"	0	1	102	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	
"Taipei, Chinese"	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	
"Moldova, Republic of"	172	213	184	217	275	875	128	12	118	50	81	0	12	831	103	147	101	70	25	0	
"Montenegro"	0	184	70	0	41	98	22	0	0	0	0	0	0	0	0	7	29	0	0	0	
"Latvia"	0	0	13	41	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
"Liberia"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	
"Korea, Republic of"	27	0	0	0	0	27	0	0	0	0	0	0	0	10	0	9	0	0	0	0	
"Kuwait"	0	0	3	0	0	12	160	0	0	0	2	0	0	0	4	166	0	0	58	0	
"Côte d'Ivoire"	0	0	0	3	0	0	0	0	0	0	43	0	0	0	0	0	0	0	0	0	
"Jamaica"	0	0	0	0	0	0	0	0	0	23	0	0	0	0	0	0	0	0	0	0	
"Iceland"	0	0	0	0	0	0	21	9	0	0	0	0	0	0	0	0	0	8	20	0	
"Guinea"	0	0	0	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	
"Ghana"	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	
"Belarus"	1	89	0	177	159	0	0	0	0	0	0	0	0	0	0	0	0	0	69	0	
"Cambodia"	0	0	0	0	0	42	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
"Cameroon"	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	136	0	0	
"Canada"	0	0	0	27	0	0	0	0	0	0	7	0	0	51	0	0	15	4	0	0	
"Sri Lanka"	0	0	381	0	0	335	2	0	0	0	0	0	0	0	72	0	0	0	0	0	
"Chad"	0	0	0	0	1	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
"Chile"	0	0	0	0	0	73	0	0	17	0	0	0	0	0	0	0	0	0	0	0	
"Congo"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21	0	0	0	
"Albania"	97	272	63	8	7	34	5	0	0	0	0	0	224	211	125	46	105	140	22	0	
"Algeria"	2	7	0	76	323	50	0	0	56	0	71	0	0	0	4	38	104	62	22	0	
"Angola"	1	0	0	0	0	0	0	0	19	0	0	0	0	0	0	18	0	0	0	0	
"Bahrain"	0	3	0	0	6	0	57	1	0	0	0	0	0	0	0	0	7	0	0	0	
"Bangladesh"	0	0	0	0	0	0	0	88	0	0	0	0	0	0	0	0	0	0	0	0	
"Barbados"	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
"Czech Republic"	1	0	12	166	86	89	0	26	49	45	0	3	0	9	1	28	56	0	0	0	
"Argentina"	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	
"Bolivia, Plurinational State of"	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
"Bosnia and Herzegovina"	0	246	202	423	400	217	0	27	0	0	84	0	5	259	113	250	118	3	0	0	
"Brazil"	1	0	0	0	0	0	0	0	0	2	57	0	0	0	0	0	0	0	0	0	
"Gambia"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22	0	0	0	0	
"Djibouti"	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	15	0	23	0	
