Exporters	Imported value in 2006-M06	Imported value in 2006-M07	Imported value in 2006-M08	Imported value in 2006-M09	Imported value in 2006-M10	Imported value in 2006-M11	Imported value in 2006-M12	Imported value in 2007-M01	Imported value in 2007-M02	Imported value in 2007-M03	Imported value in 2007-M04	Imported value in 2007-M05	Imported value in 2007-M06	Imported value in 2007-M07	Imported value in 2007-M08	Imported value in 2007-M09	Imported value in 2007-M10	Imported value in 2007-M11	Imported value in 2007-M12	Imported value in 2008-M01	
"World"	32850	30403	24879	31885	28635	25994	20458	19111	22698	25059	22095	27861	31219	32482	28216	29499	33412	27910	20630	28105	
"Czech Republic"	1409	1743	1386	1155	511	1454	698	932	1312	666	340	733	1004	1225	1593	898	2989	2237	1859	8717	
"Italy"	11587	10507	7868	9354	10554	8054	5506	4754	6948	10937	6240	7445	10042	11910	7050	8982	8439	5944	3892	4650	
"China"	1437	1372	2141	1661	2120	2048	1997	1658	949	867	2196	2233	2029	1826	2774	2351	3644	3723	2847	2461	
"Spain"	4108	4438	3656	8144	4910	3783	1873	2606	3195	2627	2719	3880	4477	4701	3272	4353	4772	1701	1506	1929	
"United States of America"	999	263	419	210	443	416	417	1313	647	377	586	589	277	597	394	618	664	546	550	1531	
"Turkey"	862	883	744	1039	506	586	925	889	825	741	1210	960	1434	1503	1242	998	1037	2180	1435	1397	
"Portugal"	1578	2065	1390	1724	1753	1646	1426	1868	2023	1697	1599	1521	1220	1516	959	1472	1418	1664	838	1103	
"Denmark"	1689	1370	778	1126	1121	1031	857	821	927	1004	1062	1222	1360	1547	909	1121	1172	688	771	1096	
"France"	1036	1168	506	364	239	968	349	374	474	297	252	704	1083	1212	1099	1030	803	340	2811	1056	
"Germany"	1710	1485	604	552	636	409	772	483	656	677	547	1371	895	761	1059	736	712	1520	522	846	
"Austria"	1534	817	338	648	1476	472	1217	314	918	1411	1126	1715	2235	1362	3020	2151	3567	2449	815	810	
"Netherlands"	1161	686	859	1510	916	678	551	542	680	877	886	1015	817	729	407	579	826	598	182	425	
"Finland"	236	54	234	761	181	233	623	468	311	501	880	1062	1102	348	990	341	170	322	75	401	
"Hong Kong, China"	100	26	0	0	30	62	17	2	0	0	0	124	26	79	345	212	299	651	352	282	
"Poland"	85	232	207	22	80	112	145	213	33	212	175	167	351	292	310	181	226	230	58	263	
"United Arab Emirates"	260	70	0	0	83	0	57	76	54	55	0	28	0	0	75	0	55	61	0	232	
"Ireland"	984	1078	1368	910	406	699	959	570	1402	845	702	940	432	594	485	425	459	848	705	224	
"Slovenia"	213	283	162	298	290	75	200	281	335	264	164	252	236	358	379	216	440	362	186	161	
"Slovakia"	305	244	346	249	341	330	90	169	266	215	363	474	463	278	391	335	397	342	165	154	
"Mexico"	61	101	82	114	60	101	147	25	60	111	95	37	42	131	95	109	158	181	251	78	
"Romania"	238	351	582	477	264	500	374	259	51	43	57	257	344	89	9	255	179	121	56	73	
"Greece"	250	217	151	356	232	184	172	171	289	159	111	306	276	140	382	53	167	224	182	68	
"Taipei, Chinese"	148	100	246	68	348	99	0	0	0	45	45	217	189	101	274	102	152	94	2	51	
"India"	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	755	0	0	0	31	
"Thailand"	0	0	23	126	0	134	0	0	0	4	31	0	0	0	149	0	2	115	49	31	
"Belgium"	26	26	20	23	62	1203	22	8	19	34	52	45	40	49	43	31	34	31	18	26	
"Guatemala"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	
"Hungary"	483	327	363	469	837	519	683	215	125	149	386	300	452	730	208	769	372	601	339	5	
"Iceland"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	
"Indonesia"	8	0	3	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	
"Iran, Islamic Republic of"	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	
"Israel"	58	3	0	0	34	0	0	3	0	0	0	0	33	0	0	9	0	0	0	0	
"Japan"	8	0	0	98	0	32	0	0	2	0	14	0	0	0	2	19	0	0	0	0	
"Jordan"	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	
"Korea, Republic of"	0	0	0	0	0	2	0	0	0	0	72	48	0	49	0	0	3	0	68	0	
"Lebanon"	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	2	0	0	62	0	
"Lithuania"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	
"Luxembourg"	11	4	4	258	0	0	0	0	0	0	0	0	58	0	0	0	0	0	0	0	
"Malaysia"	0	55	0	42	0	0	0	0	0	0	24	0	58	59	115	50	17	0	7	0	
"Ghana"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	29	0	0	0	0	0	
"Gibraltar"	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	
"Brazil"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30	0	0	
"Bulgaria"	0	0	9	0	0	0	15	0	0	0	0	0	0	0	0	0	0	3	0	0	
"Canada"	0	3	0	0	7	0	0	6	2	0	0	0	0	0	0	0	0	0	0	0	
"Croatia"	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	
"Australia"	0	2	0	0	0	0	0	0	0	0	38	0	12	0	0	0	0	0	8	0	
"Singapore"	2	158	0	0	0	22	12	0	0	0	0	0	0	10	12	3	0	0	3	0	
"South Africa"	151	138	154	83	189	120	240	88	81	125	75	86	183	210	92	116	160	37	0	0	
"Sweden"	4	24	5	3	3	1	2	1	2	2	3	44	26	71	4	42	81	66	1	0	
"Switzerland"	6	0	31	36	0	0	0	0	98	70	0	0	2	0	0	12	0	0	0	0	
"Russian Federation"	0	86	187	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
"Saudi Arabia"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	
"New Zealand"	68	0	11	2	0	14	114	0	14	47	0	74	0	0	33	171	0	0	0	0	
"Norway"	34	26	3	4	0	4	0	0	0	0	0	13	2	0	0	0	0	0	2	0	
"Pakistan"	0	0	0	0	0	0	0	0	0	0	45	0	0	0	0	0	0	0	0	0	
