Date,BCI_GBR,BCI_GBR-1,BCI_GBR-2,BCI_GBR-3,BCI_GBR-6,BCI_GBR-12,CCI_GBR,CCI_GBR-1,CCI_GBR-2,CCI_GBR-3,CCI_GBR-6,CCI_GBR-12,CLI_GBR,CLI_GBR-1,CLI_GBR-2,CLI_GBR-3,CLI_GBR-6,CLI_GBR-12,GDP_GBR,GDP_GBR-1,GDP_GBR-2,GDP_GBR-3,GDP_GBR-6,GDP_GBR-12
200101,100.3076,100.3269,100.1689,100.0494,99.90478,100.3003,101.1502,101.1843,101.1041,100.9248,100.5539,101.3078,100.2778,100.1994,100.0875,99.95191,99.63029,100.3904,99.85508,99.81754000000001,99.81832,99.87114,100.2498,100.75399999999999
200102,100.0212,100.3076,100.3269,100.1689,99.91781999999999,100.1983,101.0567,101.1502,101.1843,101.1041,100.6545,101.0699,100.3069,100.2778,100.1994,100.0875,99.70662,100.1912,99.90983,99.85508,99.81754000000001,99.81832,100.1027,100.7526
200103,99.66763,100.0212,100.3076,100.3269,99.95299999999999,100.0658,101.0164,101.0567,101.1502,101.1843,100.6876,100.7601,100.2964,100.3069,100.2778,100.1994,99.81459,99.98725999999999,99.96222,99.90983,99.85508,99.81754000000001,99.97076,100.7116
200104,99.50746,99.66763,100.0212,100.3076,100.0494,99.94167,100.9827,101.0164,101.0567,101.1502,100.9248,100.5314,100.2694,100.2964,100.3069,100.2778,99.95191,99.79505,100.0017,99.96222,99.90983,99.85508,99.87114,100.6353
200105,99.48422,99.50746,99.66763,100.0212,100.1689,99.90188,101.0232,100.9827,101.0164,101.0567,101.1041,100.4572,100.225,100.2694,100.2964,100.3069,100.0875,99.66152,100.0232,100.0017,99.96222,99.90983,99.81832,100.5282
200106,99.59045,99.48422,99.50746,99.66763,100.3269,99.89480999999999,101.1202,101.0232,100.9827,101.0164,101.1843,100.4812,100.1458,100.225,100.2694,100.2964,100.1994,99.60655,100.0243,100.0232,100.0017,99.96222,99.81754000000001,100.3961
200107,99.52011,99.59045,99.48422,99.50746,100.3076,99.90478,101.0067,101.1202,101.0232,100.9827,101.1502,100.5539,100.024,100.1458,100.225,100.2694,100.2778,99.63029,100.0041,100.0243,100.0232,100.0017,99.85508,100.2498
200108,99.31445,99.52011,99.59045,99.48422,100.0212,99.91781999999999,100.6274,101.0067,101.1202,101.0232,101.0567,100.6545,99.88566999999999,100.024,100.1458,100.225,100.3069,99.70662,99.96257,100.0041,100.0243,100.0232,99.90983,100.1027
200109,99.04087,99.31445,99.52011,99.59045,99.66763,99.95299999999999,100.2517,100.6274,101.0067,101.1202,101.0164,100.6876,99.77824,99.88566999999999,100.024,100.1458,100.2964,99.81459,99.90109,99.96257,100.0041,100.0243,99.96222,99.97076
200110,98.69973,99.04087,99.31445,99.52011,99.50746,100.0494,99.90818,100.2517,100.6274,101.0067,100.9827,100.9248,99.72504,99.77824,99.88566999999999,100.024,100.2694,99.95191,99.82523,99.90109,99.96257,100.0041,100.0017,99.87114
200111,98.36401,98.69973,99.04087,99.31445,99.48422,100.1689,99.91476,99.90818,100.2517,100.6274,101.0232,101.1041,99.76053,99.72504,99.77824,99.88566999999999,100.225,100.0875,99.74203,99.82523,99.90109,99.96257,100.0232,99.81832
200112,98.13914,98.36401,98.69973,99.04087,99.59045,100.3269,100.1218,99.91476,99.90818,100.2517,101.1202,101.1843,99.87586,99.76053,99.72504,99.77824,100.1458,100.1994,99.65861,99.74203,99.82523,99.90109,100.0243,99.81754000000001
200201,98.2721,98.13914,98.36401,98.69973,99.52011,100.3076,100.4017,100.1218,99.91476,99.90818,101.0067,101.1502,100.05799999999999,99.87586,99.76053,99.72504,100.024,100.2778,99.58122,99.65861,99.74203,99.82523,100.0041,99.85508
200202,98.61375,98.2721,98.13914,98.36401,99.31445,100.0212,100.6276,100.4017,100.1218,99.91476,100.6274,101.0567,100.26,100.05799999999999,99.87586,99.76053,99.88566999999999,100.3069,99.51512,99.58122,99.65861,99.74203,99.96257,99.90983
