Date,BCI_TUR,BCI_TUR-1,BCI_TUR-2,BCI_TUR-3,BCI_TUR-6,BCI_TUR-12,CCI_TUR,CCI_TUR-1,CCI_TUR-2,CCI_TUR-3,CCI_TUR-6,CCI_TUR-12,CLI_TUR,CLI_TUR-1,CLI_TUR-2,CLI_TUR-3,CLI_TUR-6,CLI_TUR-12,GDP_TUR,GDP_TUR-1,GDP_TUR-2,GDP_TUR-3,GDP_TUR-6,GDP_TUR-12
200501,98.95572,98.98485,99.80009,101.3934,96.4606,99.45903,105.7617,105.6515,105.3279,105.1126,105.6112,108.1658,100.8926,100.9312,100.8858,100.7922,100.4849,101.1546,100.6886,100.4509,100.2359,100.0947,100.1237,99.80212
200502,98.74213,98.95572,98.98485,99.80009,98.70944,100.7099,105.5196,105.7617,105.6515,105.3279,105.0586,108.1088,100.7714,100.8926,100.9312,100.8858,100.5506,101.0456,100.8888,100.6886,100.4509,100.2359,100.0576,100.0134
200503,98.6899,98.74213,98.95572,98.98485,101.3857,101.1198,104.9501,105.5196,105.7617,105.6515,104.9665,107.9113,100.5855,100.7714,100.8926,100.9312,100.6676,100.8816,101.0087,100.8888,100.6886,100.4509,100.0391,100.1639
200504,98.27003,98.6899,98.74213,98.95572,101.3934,101.1009,104.4096,104.9501,105.5196,105.7617,105.1126,107.5246,100.3774,100.5855,100.7714,100.8926,100.7922,100.7098,101.0521,101.0087,100.8888,100.6886,100.0947,100.2428
200505,98.65323000000001,98.27003,98.6899,98.74213,99.80009,99.73196999999999,104.0437,104.4096,104.9501,105.5196,105.3279,106.8735,100.1979,100.3774,100.5855,100.7714,100.8858,100.5666,101.0476,101.0521,101.0087,100.8888,100.2359,100.2507
200506,98.96042,98.65323000000001,98.27003,98.6899,98.98485,97.0039,103.73100000000001,104.0437,104.4096,104.9501,105.6515,106.243,100.0971,100.1979,100.3774,100.5855,100.9312,100.4875,101.0322,101.0476,101.0521,101.0087,100.4509,100.2008
200507,99.54095,98.96042,98.65323000000001,98.27003,98.95572,96.4606,103.4445,103.73100000000001,104.0437,104.4096,105.7617,105.6112,100.1124,100.0971,100.1979,100.3774,100.8926,100.4849,101.0396,101.0322,101.0476,101.0521,100.6886,100.1237
200508,100.7254,99.54095,98.96042,98.65323000000001,98.74213,98.70944,103.1113,103.4445,103.73100000000001,104.0437,105.5196,105.0586,100.2223,100.1124,100.0971,100.1979,100.7714,100.5506,101.0947,101.0396,101.0322,101.0476,100.8888,100.0576
200509,100.7498,100.7254,99.54095,98.96042,98.6899,101.3857,102.9592,103.1113,103.4445,103.73100000000001,104.9501,104.9665,100.3828,100.2223,100.1124,100.0971,100.5855,100.6676,101.2082,101.0947,101.0396,101.0322,101.0087,100.0391
200510,99.36698,100.7498,100.7254,99.54095,98.27003,101.3934,103.2315,102.9592,103.1113,103.4445,104.4096,105.1126,100.5389,100.3828,100.2223,100.1124,100.3774,100.7922,101.3669,101.2082,101.0947,101.0396,101.0521,100.0947
200511,99.24718,99.36698,100.7498,100.7254,98.65323000000001,99.80009,103.6498,103.2315,102.9592,103.1113,104.0437,105.3279,100.63600000000001,100.5389,100.3828,100.2223,100.1979,100.8858,101.5478,101.3669,101.2082,101.0947,101.0476,100.2359
200512,100.0844,99.24718,99.36698,100.7498,98.96042,98.98485,104.0394,103.6498,103.2315,102.9592,103.73100000000001,105.6515,100.6499,100.63600000000001,100.5389,100.3828,100.0971,100.9312,101.7273,101.5478,101.3669,101.2082,101.0322,100.4509
200601,100.2744,100.0844,99.24718,99.36698,99.54095,98.95572,104.4299,104.0394,103.6498,103.2315,103.4445,105.7617,100.5963,100.6499,100.63600000000001,100.5389,100.1124,100.8926,101.8906,101.7273,101.5478,101.3669,101.0396,100.6886
200602,100.6841,100.2744,100.0844,99.24718,100.7254,98.74213,104.6368,104.4299,104.0394,103.6498,103.1113,105.5196,100.5002,100.5963,100.6499,100.63600000000001,100.2223,100.7714,102.0253,101.8906,101.7273,101.5478,101.0947,100.8888
200603,100.6133,100.6841,100.2744,100.0844,100.7498,98.6899,104.6749,104.6368,104.4299,104.0394,102.9592,104.9501,100.3835,100.5002,100.5963,100.6499,100.3828,100.5855,102.1179,102.0253,101.8906,101.7273,101.2082,101.0087
200604,100.2057,100.6133,100.6841,100.2744,99.36698,98.27003,104.3277,104.6749,104.6368,104.4299,103.2315,104.4096,100.2638,100.3835,100.5002,100.5963,100.5389,100.3774,102.1513,102.1179,102.0253,101.8906,101.3669,101.0521
200605,99.83617,100.2057,100.6133,100.6841,99.24718,98.65323000000001,103.3175,104.3277,104.6749,104.6368,103.6498,104.0437,100.1528,100.2638,100.3835,100.5002,100.63600000000001,100.1979,102.1149,102.1513,102.1179,102.0253,101.5478,101.0476
200606,99.21534,99.83617,100.2057,100.6133,100.0844,98.96042,101.8534,103.3175,104.3277,104.6749,104.0394,103.73100000000001,100.0563,100.1528,100.2638,100.3835,100.6499,100.0971,102.0178,102.1149,102.1513,102.1179,101.7273,101.0322
200607,99.29094,99.21534,99.83617,100.2057,100.2744,99.54095,100.8699,101.8534,103.3175,104.3277,104.4299,103.4445,99.9882,100.0563,100.1528,100.2638,100.5963,100.1124,101.9085,102.0178,102.1149,102.1513,101.8906,101.0396
200608,99.27696999999999,99.29094,99.21534,99.83617,100.6841,100.7254,100.7129,100.8699,101.8534,103.3175,104.6368,103.1113,99.99886,99.9882,100.0563,100.1528,100.5002,100.2223,101.846,101.9085,102.0178,102.1149,102.0253,101.0947
200609,98.68491999999999,99.27696999999999,99.29094,99.21534,100.6133,100.7498,100.8687,100.7129,100.8699,101.8534,104.6749,102.9592,100.0891,99.99886,99.9882,100.0563,100.3835,100.3828,101.8732,101.846,101.9085,102.0178,102.1179,101.2082
200610,98.65066,98.68491999999999,99.27696999999999,99.29094,100.2057,99.36698,101.1072,100.8687,100.7129,100.8699,104.3277,103.2315,100.2453,100.0891,99.99886,99.9882,100.2638,100.5389,101.9864,101.8732,101.846,101.9085,102.1513,101.3669
200611,99.69811,98.65066,98.68491999999999,99.27696999999999,99.83617,99.24718,101.3104,101.1072,100.8687,100.7129,103.3175,103.6498,100.4473,100.2453,100.0891,99.99886,100.1528,100.63600000000001,102.1534,101.9864,101.8732,101.846,102.1149,101.5478
200612,100.8078,99.69811,98.65066,98.68491999999999,99.21534,100.0844,101.3056,101.3104,101.1072,100.8687,101.8534,104.0394,100.6458,100.4473,100.2453,100.0891,100.0563,100.6499,102.32600000000001,102.1534,101.9864,101.8732,102.0178,101.7273
200701,101.4365,100.8078,99.69811,98.65066,99.29094,100.2744,101.2885,101.3056,101.3104,101.1072,100.8699,104.4299,100.796,100.6458,100.4473,100.2453,99.9882,100.5963,102.4483,102.32600000000001,102.1534,101.9864,101.9085,101.8906
200702,101.3879,101.4365,100.8078,99.69811,99.27696999999999,100.6841,101.3693,101.2885,101.3056,101.3104,100.7129,104.6368,100.8616,100.796,100.6458,100.4473,99.99886,100.5002,102.4713,102.4483,102.32600000000001,102.1534,101.846,102.0253
200703,101.4608,101.3879,101.4365,100.8078,98.68491999999999,100.6133,101.507,101.3693,101.2885,101.3056,100.8687,104.6749,100.8811,100.8616,100.796,100.6458,100.0891,100.3835,102.3717,102.4713,102.4483,102.32600000000001,101.8732,102.1179
200704,100.7567,101.4608,101.3879,101.4365,98.65066,100.2057,101.7577,101.507,101.3693,101.2885,101.1072,104.3277,100.9012,100.8811,100.8616,100.796,100.2453,100.2638,102.1775,102.3717,102.4713,102.4483,101.9864,102.1513
200705,100.45299999999999,100.7567,101.4608,101.3879,99.69811,99.83617,102.0322,101.7577,101.507,101.3693,101.3104,103.3175,100.9663,100.9012,100.8811,100.8616,100.4473,100.1528,101.9446,102.1775,102.3717,102.4713,102.1534,102.1149
200706,100.7602,100.45299999999999,100.7567,101.4608,100.8078,99.21534,102.2738,102.0322,101.7577,101.507,101.3056,101.8534,101.1115,100.9663,100.9012,100.8811,100.6458,100.0563,101.7412,101.9446,102.1775,102.3717,102.32600000000001,102.0178
200707,100.7916,100.7602,100.45299999999999,100.7567,101.4365,99.29094,102.6381,102.2738,102.0322,101.7577,101.2885,100.8699,101.2868,101.1115,100.9663,100.9012,100.796,99.9882,101.6348,101.7412,101.9446,102.1775,102.4483,101.9085
