"SUBJECT","Subject","LOCATION","Country","FREQUENCY","Frequency","TIME","Time","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"BSCICP03","OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa","TUR","Turkey","M","Monthly","2000-01","Jan-2000","IDX","Index","0","Units",,,101.3514,,
"BSCICP03","OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa","TUR","Turkey","M","Monthly","2000-02","Feb-2000","IDX","Index","0","Units",,,101.5092,,
"BSCICP03","OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa","TUR","Turkey","M","Monthly","2000-03","Mar-2000","IDX","Index","0","Units",,,101.664,,
"BSCICP03","OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa","TUR","Turkey","M","Monthly","2000-04","Apr-2000","IDX","Index","0","Units",,,101.4696,,
"BSCICP03","OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa","TUR","Turkey","M","Monthly","2000-05","May-2000","IDX","Index","0","Units",,,101.4758,,
"BSCICP03","OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa","TUR","Turkey","M","Monthly","2000-06","Jun-2000","IDX","Index","0","Units",,,101.7194,,
"BSCICP03","OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa","TUR","Turkey","M","Monthly","2000-07","Jul-2000","IDX","Index","0","Units",,,101.6973,,
"BSCICP03","OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa","TUR","Turkey","M","Monthly","2000-08","Aug-2000","IDX","Index","0","Units",,,100.8703,,
"BSCICP03","OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa","TUR","Turkey","M","Monthly","2000-09","Sep-2000","IDX","Index","0","Units",,,98.88383,,
"BSCICP03","OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa","TUR","Turkey","M","Monthly","2000-10","Oct-2000","IDX","Index","0","Units",,,96.71148,,
"BSCICP03","OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa","TUR","Turkey","M","Monthly","2000-11","Nov-2000","IDX","Index","0","Units",,,95.17643,,
"BSCICP03","OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa","TUR","Turkey","M","Monthly","2000-12","Dec-2000","IDX","Index","0","Units",,,94.83391,,
"BSCICP03","OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa","TUR","Turkey","M","Monthly","2001-01","Jan-2001","IDX","Index","0","Units",,,95.08168,,
"BSCICP03","OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa","TUR","Turkey","M","Monthly","2001-02","Feb-2001","IDX","Index","0","Units",,,94.884,,
"BSCICP03","OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa","TUR","Turkey","M","Monthly","2001-03","Mar-2001","IDX","Index","0","Units",,,97.12168,,
"BSCICP03","OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa","TUR","Turkey","M","Monthly","2001-04","Apr-2001","IDX","Index","0","Units",,,102.0151,,
"BSCICP03","OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa","TUR","Turkey","M","Monthly","2001-05","May-2001","IDX","Index","0","Units",,,105.4729,,
