"LOCATION","Country","SUBJECT","Subject","MEASURE","Measure","FREQUENCY","Frequency","TIME","Time","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"TUR","Turkey","CPALTT01","Consumer Price Index > All items > Total > Total","IXOB","Index 2010=100","M","Monthly","2000-01","Jan-2000","IDX","Index","0","Units","2010_100","2010=100",17.8594693286688,,
"TUR","Turkey","CPALTT01","Consumer Price Index > All items > Total > Total","IXOB","Index 2010=100","M","Monthly","2000-02","Feb-2000","IDX","Index","0","Units","2010_100","2010=100",18.5209054767937,,
"TUR","Turkey","CPALTT01","Consumer Price Index > All items > Total > Total","IXOB","Index 2010=100","M","Monthly","2000-03","Mar-2000","IDX","Index","0","Units","2010_100","2010=100",19.0617023274619,,
"TUR","Turkey","CPALTT01","Consumer Price Index > All items > Total > Total","IXOB","Index 2010=100","M","Monthly","2000-04","Apr-2000","IDX","Index","0","Units","2010_100","2010=100",19.5047397474324,,
"TUR","Turkey","CPALTT01","Consumer Price Index > All items > Total > Total","IXOB","Index 2010=100","M","Monthly","2000-05","May-2000","IDX","Index","0","Units","2010_100","2010=100",19.9373772279669,,
"TUR","Turkey","CPALTT01","Consumer Price Index > All items > Total > Total","IXOB","Index 2010=100","M","Monthly","2000-06","Jun-2000","IDX","Index","0","Units","2010_100","2010=100",20.072576440634,,
"TUR","Turkey","CPALTT01","Consumer Price Index > All items > Total > Total","IXOB","Index 2010=100","M","Monthly","2000-07","Jul-2000","IDX","Index","0","Units","2010_100","2010=100",20.5232404828574,,
"TUR","Turkey","CPALTT01","Consumer Price Index > All items > Total > Total","IXOB","Index 2010=100","M","Monthly","2000-08","Aug-2000","IDX","Index","0","Units","2010_100","2010=100",20.9690512200108,,
"TUR","Turkey","CPALTT01","Consumer Price Index > All items > Total > Total","IXOB","Index 2010=100","M","Monthly","2000-09","Sep-2000","IDX","Index","0","Units","2010_100","2010=100",21.6138474650383,,
"TUR","Turkey","CPALTT01","Consumer Price Index > All items > Total > Total","IXOB","Index 2010=100","M","Monthly","2000-10","Oct-2000","IDX","Index","0","Units","2010_100","2010=100",22.2836035647119,,
"TUR","Turkey","CPALTT01","Consumer Price Index > All items > Total > Total","IXOB","Index 2010=100","M","Monthly","2000-11","Nov-2000","IDX","Index","0","Units","2010_100","2010=100",23.110745414516,,
"TUR","Turkey","CPALTT01","Consumer Price Index > All items > Total > Total","IXOB","Index 2010=100","M","Monthly","2000-12","Dec-2000","IDX","Index","0","Units","2010_100","2010=100",23.6806620956047,,
"TUR","Turkey","CPALTT01","Consumer Price Index > All items > Total > Total","IXOB","Index 2010=100","M","Monthly","2001-01","Jan-2001","IDX","Index","0","Units","2010_100","2010=100",24.2741519727483,,
"TUR","Turkey","CPALTT01","Consumer Price Index > All items > Total > Total","IXOB","Index 2010=100","M","Monthly","2001-02","Feb-2001","IDX","Index","0","Units","2010_100","2010=100",24.7109494290572,,
"TUR","Turkey","CPALTT01","Consumer Price Index > All items > Total > Total","IXOB","Index 2010=100","M","Monthly","2001-03","Mar-2001","IDX","Index","0","Units","2010_100","2010=100",26.2113140250135,,
"TUR","Turkey","CPALTT01","Consumer Price Index > All items > Total > Total","IXOB","Index 2010=100","M","Monthly","2001-04","Apr-2001","IDX","Index","0","Units","2010_100","2010=100",28.9201515834245,,
"TUR","Turkey","CPALTT01","Consumer Price Index > All items > Total > Total","IXOB","Index 2010=100","M","Monthly","2001-05","May-2001","IDX","Index","0","Units","2010_100","2010=100",30.3816897388201,,
"TUR","Turkey","CPALTT01","Consumer Price Index > All items > Total > Total","IXOB","Index 2010=100","M","Monthly","2001-06","Jun-2001","IDX","Index","0","Units","2010_100","2010=100",31.3336308618552,,
"TUR","Turkey","CPALTT01","Consumer Price Index > All items > Total > Total","IXOB","Index 2010=100","M","Monthly","2001-07","Jul-2001","IDX","Index","0","Units","2010_100","2010=100",32.0838131598334,,
"TUR","Turkey","CPALTT01","Consumer Price Index > All items > Total > Total","IXOB","Index 2010=100","M","Monthly","2001-08","Aug-2001","IDX","Index","0","Units","2010_100","2010=100",33.026741002024,,
"TUR","Turkey","CPALTT01","Consumer Price Index > All items > Total > Total","IXOB","Index 2010=100","M","Monthly","2001-09","Sep-2001","IDX","Index","0","Units","2010_100","2010=100",34.9715296765423,,
"TUR","Turkey","CPALTT01","Consumer Price Index > All items > Total > Total","IXOB","Index 2010=100","M","Monthly","2001-10","Oct-2001","IDX","Index","0","Units","2010_100","2010=100",37.0951973093585,,
"TUR","Turkey","CPALTT01","Consumer Price Index > All items > Total > Total","IXOB","Index 2010=100","M","Monthly","2001-11","Nov-2001","IDX","Index","0","Units","2010_100","2010=100",38.6628148470005,,
"TUR","Turkey","CPALTT01","Consumer Price Index > All items > Total > Total","IXOB","Index 2010=100","M","Monthly","2001-12","Dec-2001","IDX","Index","0","Units","2010_100","2010=100",39.9094209207202,,
"TUR","Turkey","CPALTT01","Consumer Price Index > All items > Total > Total","IXOB","Index 2010=100","M","Monthly","2002-01","Jan-2002","IDX","Index","0","Units","2010_100","2010=100",42.0323952242407,,
"TUR","Turkey","CPALTT01","Consumer Price Index > All items > Total > Total","IXOB","Index 2010=100","M","Monthly","2002-02","Feb-2002","IDX","Index","0","Units","2010_100","2010=100",42.7694042656,,
"TUR","Turkey","CPALTT01","Consumer Price Index > All items > Total > Total","IXOB","Index 2010=100","M","Monthly","2002-03","Mar-2002","IDX","Index","0","Units","2010_100","2010=100",43.2783079686647,,
"TUR","Turkey","CPALTT01","Consumer Price Index > All items > Total > Total","IXOB","Index 2010=100","M","Monthly","2002-04","Apr-2002","IDX","Index","0","Units","2010_100","2010=100",44.1678494550843,,
"TUR","Turkey","CPALTT01","Consumer Price Index > All items > Total > Total","IXOB","Index 2010=100","M","Monthly","2002-05","May-2002","IDX","Index","0","Units","2010_100","2010=100",44.4236879652081,,
"TUR","Turkey","CPALTT01","Consumer Price Index > All items > Total > Total","IXOB","Index 2010=100","M","Monthly","2002-06","Jun-2002","IDX","Index","0","Units","2010_100","2010=100",44.6829931218105,,
"TUR","Turkey","CPALTT01","Consumer Price Index > All items > Total > Total","IXOB","Index 2010=100","M","Monthly","2002-07","Jul-2002","IDX","Index","0","Units","2010_100","2010=100",45.3270960375422,,
"TUR","Turkey","CPALTT01","Consumer Price Index > All items > Total > Total","IXOB","Index 2010=100","M","Monthly","2002-08","Aug-2002","IDX","Index","0","Units","2010_100","2010=100",46.3171702718424,,
"TUR","Turkey","CPALTT01","Consumer Price Index > All items > Total > Total","IXOB","Index 2010=100","M","Monthly","2002-09","Sep-2002","IDX","Index","0","Units","2010_100","2010=100",47.9277742258196,,
"TUR","Turkey","CPALTT01","Consumer Price Index > All items > Total > Total","IXOB","Index 2010=100","M","Monthly","2002-10","Oct-2002","IDX","Index","0","Units","2010_100","2010=100",49.5030183857146,,
"TUR","Turkey","CPALTT01","Consumer Price Index > All items > Total > Total","IXOB","Index 2010=100","M","Monthly","2002-11","Nov-2002","IDX","Index","0","Units","2010_100","2010=100",50.944449991534,,
"TUR","Turkey","CPALTT01","Consumer Price Index > All items > Total > Total","IXOB","Index 2010=100","M","Monthly","2002-12","Dec-2002","IDX","Index","0","Units","2010_100","2010=100",51.781991780774,,
"TUR","Turkey","CPALTT01","Consumer Price Index > All items > Total > Total","IXOB","Index 2010=100","M","Monthly","2003-01","Jan-2003","IDX","Index","0","Units","2010_100","2010=100",53.122197309417,,
"TUR","Turkey","CPALTT01","Consumer Price Index > All items > Total > Total","IXOB","Index 2010=100","M","Monthly","2003-02","Feb-2003","IDX","Index","0","Units","2010_100","2010=100",53.9405829596413,,
"TUR","Turkey","CPALTT01","Consumer Price Index > All items > Total > Total","IXOB","Index 2010=100","M","Monthly","2003-03","Mar-2003","IDX","Index","0","Units","2010_100","2010=100",55,,
"TUR","Turkey","CPALTT01","Consumer Price Index > All items > Total > Total","IXOB","Index 2010=100","M","Monthly","2003-04","Apr-2003","IDX","Index","0","Units","2010_100","2010=100",55.5437219730942,,
"TUR","Turkey","CPALTT01","Consumer Price Index > All items > Total > Total","IXOB","Index 2010=100","M","Monthly","2003-05","May-2003","IDX","Index","0","Units","2010_100","2010=100",56.0762331838565,,
"TUR","Turkey","CPALTT01","Consumer Price Index > All items > Total > Total","IXOB","Index 2010=100","M","Monthly","2003-06","Jun-2003","IDX","Index","0","Units","2010_100","2010=100",56.1210762331839,,
"TUR","Turkey","CPALTT01","Consumer Price Index > All items > Total > Total","IXOB","Index 2010=100","M","Monthly","2003-07","Jul-2003","IDX","Index","0","Units","2010_100","2010=100",56.0145739910314,,
"TUR","Turkey","CPALTT01","Consumer Price Index > All items > Total > Total","IXOB","Index 2010=100","M","Monthly","2003-08","Aug-2003","IDX","Index","0","Units","2010_100","2010=100",56.1042600896861,,
"TUR","Turkey","CPALTT01","Consumer Price Index > All items > Total > Total","IXOB","Index 2010=100","M","Monthly","2003-09","Sep-2003","IDX","Index","0","Units","2010_100","2010=100",56.8609865470852,,
"TUR","Turkey","CPALTT01","Consumer Price Index > All items > Total > Total","IXOB","Index 2010=100","M","Monthly","2003-10","Oct-2003","IDX","Index","0","Units","2010_100","2010=100",57.3878923766816,,
"TUR","Turkey","CPALTT01","Consumer Price Index > All items > Total > Total","IXOB","Index 2010=100","M","Monthly","2003-11","Nov-2003","IDX","Index","0","Units","2010_100","2010=100",58.1165919282511,,
"TUR","Turkey","CPALTT01","Consumer Price Index > All items > Total > Total","IXOB","Index 2010=100","M","Monthly","2003-12","Dec-2003","IDX","Index","0","Units","2010_100","2010=100",58.3632286995516,,
"TUR","Turkey","CPALTT01","Consumer Price Index > All items > Total > Total","IXOB","Index 2010=100","M","Monthly","2004-01","Jan-2004","IDX","Index","0","Units","2010_100","2010=100",58.75,,
