"LOCATION","Country","SUBJECT","Subject","MEASURE","Measure","FREQUENCY","Frequency","TIME","Time","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"TUR","Turkey","CCUSMA02","Currency Conversions > US$ exchange rate > Average of daily rates > National currency:USD","ST","Level, rate or national currency","M","Monthly","2000-01","Jan-2000","TRY","Turkish Lira","0","Units",,,0.5448025,,
"TUR","Turkey","CCUSMA02","Currency Conversions > US$ exchange rate > Average of daily rates > National currency:USD","ST","Level, rate or national currency","M","Monthly","2000-02","Feb-2000","TRY","Turkish Lira","0","Units",,,0.563039523809524,,
"TUR","Turkey","CCUSMA02","Currency Conversions > US$ exchange rate > Average of daily rates > National currency:USD","ST","Level, rate or national currency","M","Monthly","2000-03","Mar-2000","TRY","Turkish Lira","0","Units",,,0.580068695652174,,
"TUR","Turkey","CCUSMA02","Currency Conversions > US$ exchange rate > Average of daily rates > National currency:USD","ST","Level, rate or national currency","M","Monthly","2000-04","Apr-2000","TRY","Turkish Lira","0","Units",,,0.59540625,,
"TUR","Turkey","CCUSMA02","Currency Conversions > US$ exchange rate > Average of daily rates > National currency:USD","ST","Level, rate or national currency","M","Monthly","2000-05","May-2000","TRY","Turkish Lira","0","Units",,,0.617365217391304,,
"TUR","Turkey","CCUSMA02","Currency Conversions > US$ exchange rate > Average of daily rates > National currency:USD","ST","Level, rate or national currency","M","Monthly","2000-06","Jun-2000","TRY","Turkish Lira","0","Units",,,0.615869772727273,,
"TUR","Turkey","CCUSMA02","Currency Conversions > US$ exchange rate > Average of daily rates > National currency:USD","ST","Level, rate or national currency","M","Monthly","2000-07","Jul-2000","TRY","Turkish Lira","0","Units",,,0.627277142857143,,
"TUR","Turkey","CCUSMA02","Currency Conversions > US$ exchange rate > Average of daily rates > National currency:USD","ST","Level, rate or national currency","M","Monthly","2000-08","Aug-2000","TRY","Turkish Lira","0","Units",,,0.645087608695652,,
"TUR","Turkey","CCUSMA02","Currency Conversions > US$ exchange rate > Average of daily rates > National currency:USD","ST","Level, rate or national currency","M","Monthly","2000-09","Sep-2000","TRY","Turkish Lira","0","Units",,,0.66452025,,
"TUR","Turkey","CCUSMA02","Currency Conversions > US$ exchange rate > Average of daily rates > National currency:USD","ST","Level, rate or national currency","M","Monthly","2000-10","Oct-2000","TRY","Turkish Lira","0","Units",,,0.676761136363636,,
