"LOCATION","Country","SUBJECT","Subject","MEASURE","Measure","FREQUENCY","Frequency","TIME","Time","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"TUR","Turkey","PIEAMP02","Producer Prices Index > Economic activities > Manufacturing > Domestic","GY","Growth rate same period previous year","M","Monthly","2004-01","Jan-2004","PC","Percentage","0","Units",,,6.37344736306252,,
"TUR","Turkey","PIEAMP02","Producer Prices Index > Economic activities > Manufacturing > Domestic","GY","Growth rate same period previous year","M","Monthly","2004-02","Feb-2004","PC","Percentage","0","Units",,,4.25702008593985,,
"TUR","Turkey","PIEAMP02","Producer Prices Index > Economic activities > Manufacturing > Domestic","GY","Growth rate same period previous year","M","Monthly","2004-03","Mar-2004","PC","Percentage","0","Units",,,3.34773218142549,,
"TUR","Turkey","PIEAMP02","Producer Prices Index > Economic activities > Manufacturing > Domestic","GY","Growth rate same period previous year","M","Monthly","2004-04","Apr-2004","PC","Percentage","0","Units",,,6.31903672007167,,
"TUR","Turkey","PIEAMP02","Producer Prices Index > Economic activities > Manufacturing > Domestic","GY","Growth rate same period previous year","M","Monthly","2004-05","May-2004","PC","Percentage","0","Units",,,14.4077275038129,,
"TUR","Turkey","PIEAMP02","Producer Prices Index > Economic activities > Manufacturing > Domestic","GY","Growth rate same period previous year","M","Monthly","2004-06","Jun-2004","PC","Percentage","0","Units",,,16.2643853752928,,
"TUR","Turkey","PIEAMP02","Producer Prices Index > Economic activities > Manufacturing > Domestic","GY","Growth rate same period previous year","M","Monthly","2004-07","Jul-2004","PC","Percentage","0","Units",,,16.36031278562,,
"TUR","Turkey","PIEAMP02","Producer Prices Index > Economic activities > Manufacturing > Domestic","GY","Growth rate same period previous year","M","Monthly","2004-08","Aug-2004","PC","Percentage","0","Units",,,17.5221417069243,,
"TUR","Turkey","PIEAMP02","Producer Prices Index > Economic activities > Manufacturing > Domestic","GY","Growth rate same period previous year","M","Monthly","2004-09","Sep-2004","PC","Percentage","0","Units",,,19.0923792197291,,
"TUR","Turkey","PIEAMP02","Producer Prices Index > Economic activities > Manufacturing > Domestic","GY","Growth rate same period previous year","M","Monthly","2004-10","Oct-2004","PC","Percentage","0","Units",,,20.6930791381194,,
"TUR","Turkey","PIEAMP02","Producer Prices Index > Economic activities > Manufacturing > Domestic","GY","Growth rate same period previous year","M","Monthly","2004-11","Nov-2004","PC","Percentage","0","Units",,,17.3824130879346,,
"TUR","Turkey","PIEAMP02","Producer Prices Index > Economic activities > Manufacturing > Domestic","GY","Growth rate same period previous year","M","Monthly","2004-12","Dec-2004","PC","Percentage","0","Units",,,15.6843643448612,,
"TUR","Turkey","PIEAMP02","Producer Prices Index > Economic activities > Manufacturing > Domestic","GY","Growth rate same period previous year","M","Monthly","2005-01","Jan-2005","PC","Percentage","0","Units",,,12.4617151607963,,
"TUR","Turkey","PIEAMP02","Producer Prices Index > Economic activities > Manufacturing > Domestic","GY","Growth rate same period previous year","M","Monthly","2005-02","Feb-2005","PC","Percentage","0","Units",,,12.7767660308636,,
"TUR","Turkey","PIEAMP02","Producer Prices Index > Economic activities > Manufacturing > Domestic","GY","Growth rate same period previous year","M","Monthly","2005-03","Mar-2005","PC","Percentage","0","Units",,,13.4986225895317,,
"TUR","Turkey","PIEAMP02","Producer Prices Index > Economic activities > Manufacturing > Domestic","GY","Growth rate same period previous year","M","Monthly","2005-04","Apr-2005","PC","Percentage","0","Units",,,14.0116061400225,,
"TUR","Turkey","PIEAMP02","Producer Prices Index > Economic activities > Manufacturing > Domestic","GY","Growth rate same period previous year","M","Monthly","2005-05","May-2005","PC","Percentage","0","Units",,,7.80305723426946,,
"TUR","Turkey","PIEAMP02","Producer Prices Index > Economic activities > Manufacturing > Domestic","GY","Growth rate same period previous year","M","Monthly","2005-06","Jun-2005","PC","Percentage","0","Units",,,6.70112123335669,,
"TUR","Turkey","PIEAMP02","Producer Prices Index > Economic activities > Manufacturing > Domestic","GY","Growth rate same period previous year","M","Monthly","2005-07","Jul-2005","PC","Percentage","0","Units",,,5.92599057427126,,
"TUR","Turkey","PIEAMP02","Producer Prices Index > Economic activities > Manufacturing > Domestic","GY","Growth rate same period previous year","M","Monthly","2005-08","Aug-2005","PC","Percentage","0","Units",,,5.48085980988268,,
"TUR","Turkey","PIEAMP02","Producer Prices Index > Economic activities > Manufacturing > Domestic","GY","Growth rate same period previous year","M","Monthly","2005-09","Sep-2005","PC","Percentage","0","Units",,,6.14444538742258,,
"TUR","Turkey","PIEAMP02","Producer Prices Index > Economic activities > Manufacturing > Domestic","GY","Growth rate same period previous year","M","Monthly","2005-10","Oct-2005","PC","Percentage","0","Units",,,3.2908268202386,,
"TUR","Turkey","PIEAMP02","Producer Prices Index > Economic activities > Manufacturing > Domestic","GY","Growth rate same period previous year","M","Monthly","2005-11","Nov-2005","PC","Percentage","0","Units",,,2.21503235440517,,
"TUR","Turkey","PIEAMP02","Producer Prices Index > Economic activities > Manufacturing > Domestic","GY","Growth rate same period previous year","M","Monthly","2005-12","Dec-2005","PC","Percentage","0","Units",,,3.15789473684212,,
"TUR","Turkey","PIEAMP02","Producer Prices Index > Economic activities > Manufacturing > Domestic","GY","Growth rate same period previous year","M","Monthly","2006-01","Jan-2006","PC","Percentage","0","Units",,,5.26808510638299,,
"TUR","Turkey","PIEAMP02","Producer Prices Index > Economic activities > Manufacturing > Domestic","GY","Growth rate same period previous year","M","Monthly","2006-02","Feb-2006","PC","Percentage","0","Units",,,5.22692503824578,,
