PPI_CHN,PPI_GBR,Date,PPI_CHN-1,PPI_CHN-2,PPI_CHN-3,PPI_CHN-4,PPI_CHN-5,PPI_CHN-6,PPI_CHN-7,PPI_CHN-8,PPI_CHN-12,PPI_GBR-1,PPI_GBR-2,PPI_GBR-3,PPI_GBR-4,PPI_GBR-5,PPI_GBR-6,PPI_GBR-7,PPI_GBR-8,PPI_GBR-12
5.8,3.40063761955367,200501,7.1,8.1,8.4,7.9,6.8,6.4,6.4,5.7,3.5,3.82978723404254,4.472843450479219,4.4776119402985195,3.4078807241746403,2.7659574468085,2.66808964781218,2.56410256410256,2.13219616204692,0.534188034188033
5.4,3.8257173219978897,200502,5.8,7.1,8.1,8.4,7.9,6.8,6.4,6.4,3.5,3.40063761955367,3.82978723404254,4.472843450479219,4.4776119402985195,3.4078807241746403,2.7659574468085,2.66808964781218,2.56410256410256,0.0
5.6,4.23280423280423,200503,5.4,5.8,7.1,8.1,8.4,7.9,6.8,6.4,3.9,3.8257173219978897,3.40063761955367,3.82978723404254,4.472843450479219,4.4776119402985195,3.4078807241746403,2.7659574468085,2.66808964781218,-0.526315789473683
5.8,4.84210526315789,200504,5.6,5.4,5.8,7.1,8.1,8.4,7.9,6.8,5.0,4.23280423280423,3.8257173219978897,3.40063761955367,3.82978723404254,4.472843450479219,4.4776119402985195,3.4078807241746403,2.7659574468085,0.6355932203389849
5.9,3.65344467640918,200505,5.8,5.6,5.4,5.8,7.1,8.1,8.4,7.9,5.7,4.84210526315789,4.23280423280423,3.8257173219978897,3.40063761955367,3.82978723404254,4.472843450479219,4.4776119402985195,3.4078807241746403,2.13219616204692
5.2,3.85416666666668,200506,5.9,5.8,5.6,5.4,5.8,7.1,8.1,8.4,6.4,3.65344467640918,4.84210526315789,4.23280423280423,3.8257173219978897,3.40063761955367,3.82978723404254,4.472843450479219,4.4776119402985195,2.56410256410256
5.2,4.573804573804559,200507,5.2,5.9,5.8,5.6,5.4,5.8,7.1,8.1,6.4,3.85416666666668,3.65344467640918,4.84210526315789,4.23280423280423,3.8257173219978897,3.40063761955367,3.82978723404254,4.472843450479219,2.66808964781218
5.3,4.451345755693599,200508,5.2,5.2,5.9,5.8,5.6,5.4,5.8,7.1,6.8,4.573804573804559,3.85416666666668,3.65344467640918,4.84210526315789,4.23280423280423,3.8257173219978897,3.40063761955367,3.82978723404254,2.7659574468085
4.5,4.840370751802281,200509,5.3,5.2,5.2,5.9,5.8,5.6,5.4,5.8,7.9,4.451345755693599,4.573804573804559,3.85416666666668,3.65344467640918,4.84210526315789,4.23280423280423,3.8257173219978897,3.40063761955367,3.4078807241746403
4.0,4.08163265306122,200510,4.5,5.3,5.2,5.2,5.9,5.8,5.6,5.4,8.4,4.840370751802281,4.451345755693599,4.573804573804559,3.85416666666668,3.65344467640918,4.84210526315789,4.23280423280423,3.8257173219978897,4.4776119402985195
3.2,3.36391437308869,200511,4.0,4.5,5.3,5.2,5.2,5.9,5.8,5.6,8.1,4.08163265306122,4.840370751802281,4.451345755693599,4.573804573804559,3.85416666666668,3.65344467640918,4.84210526315789,4.23280423280423,4.472843450479219
3.2,3.48360655737706,200512,3.2,4.0,4.5,5.3,5.2,5.2,5.9,5.8,7.1,3.36391437308869,4.08163265306122,4.840370751802281,4.451345755693599,4.573804573804559,3.85416666666668,3.65344467640918,4.84210526315789,3.82978723404254
3.1,4.41932168550874,200601,3.2,3.2,4.0,4.5,5.3,5.2,5.2,5.9,5.8,3.48360655737706,3.36391437308869,4.08163265306122,4.840370751802281,4.451345755693599,4.573804573804559,3.85416666666668,3.65344467640918,3.40063761955367
3.0,4.19651995905834,200602,3.1,3.2,3.2,4.0,4.5,5.3,5.2,5.2,5.4,4.41932168550874,3.48360655737706,3.36391437308869,4.08163265306122,4.840370751802281,4.451345755693599,4.573804573804559,3.85416666666668,3.8257173219978897
2.5,3.65482233502536,200603,3.0,3.1,3.2,3.2,4.0,4.5,5.3,5.2,5.6,4.19651995905834,4.41932168550874,3.48360655737706,3.36391437308869,4.08163265306122,4.840370751802281,4.451345755693599,4.573804573804559,4.23280423280423
1.9,3.31325301204821,200604,2.5,3.0,3.1,3.2,3.2,4.0,4.5,5.3,5.8,3.65482233502536,4.19651995905834,4.41932168550874,3.48360655737706,3.36391437308869,4.08163265306122,4.840370751802281,4.451345755693599,4.84210526315789
2.4,4.43101711983889,200605,1.9,2.5,3.0,3.1,3.2,3.2,4.0,4.5,5.9,3.31325301204821,3.65482233502536,4.19651995905834,4.41932168550874,3.48360655737706,3.36391437308869,4.08163265306122,4.840370751802281,3.65344467640918
3.5,4.212637913741241,200606,2.4,1.9,2.5,3.0,3.1,3.2,3.2,4.0,5.2,4.43101711983889,3.31325301204821,3.65482233502536,4.19651995905834,4.41932168550874,3.48360655737706,3.36391437308869,4.08163265306122,3.85416666666668
3.6,3.7773359840954304,200607,3.5,2.4,1.9,2.5,3.0,3.1,3.2,3.2,5.2,4.212637913741241,4.43101711983889,3.31325301204821,3.65482233502536,4.19651995905834,4.41932168550874,3.48360655737706,3.36391437308869,4.573804573804559
3.4,3.66699702675917,200608,3.6,3.5,2.4,1.9,2.5,3.0,3.1,3.2,5.3,3.7773359840954304,4.212637913741241,4.43101711983889,3.31325301204821,3.65482233502536,4.19651995905834,4.41932168550874,3.48360655737706,4.451345755693599
3.5,1.96463654223968,200609,3.4,3.6,3.5,2.4,1.9,2.5,3.0,3.1,4.5,3.66699702675917,3.7773359840954304,4.212637913741241,4.43101711983889,3.31325301204821,3.65482233502536,4.19651995905834,4.41932168550874,4.840370751802281
2.9,0.8823529411764921,200610,3.5,3.4,3.6,3.5,2.4,1.9,2.5,3.0,4.0,1.96463654223968,3.66699702675917,3.7773359840954304,4.212637913741241,4.43101711983889,3.31325301204821,3.65482233502536,4.19651995905834,4.08163265306122
2.8,1.38067061143985,200611,2.9,3.5,3.4,3.6,3.5,2.4,1.9,2.5,3.2,0.8823529411764921,1.96463654223968,3.66699702675917,3.7773359840954304,4.212637913741241,4.43101711983889,3.31325301204821,3.65482233502536,3.36391437308869
3.1,1.78217821782179,200612,2.8,2.9,3.5,3.4,3.6,3.5,2.4,1.9,3.2,1.38067061143985,0.8823529411764921,1.96463654223968,3.66699702675917,3.7773359840954304,4.212637913741241,4.43101711983889,3.31325301204821,3.48360655737706
3.3,1.2795275590551398,200701,3.1,2.8,2.9,3.5,3.4,3.6,3.5,2.4,3.1,1.78217821782179,1.38067061143985,0.8823529411764921,1.96463654223968,3.66699702675917,3.7773359840954304,4.212637913741241,4.43101711983889,4.41932168550874
2.6,1.3752455795677798,200702,3.3,3.1,2.8,2.9,3.5,3.4,3.6,3.5,3.0,1.2795275590551398,1.78217821782179,1.38067061143985,0.8823529411764921,1.96463654223968,3.66699702675917,3.7773359840954304,4.212637913741241,4.19651995905834
2.7,1.9588638589618101,200703,2.6,3.3,3.1,2.8,2.9,3.5,3.4,3.6,2.5,1.3752455795677798,1.2795275590551398,1.78217821782179,1.38067061143985,0.8823529411764921,1.96463654223968,3.66699702675917,3.7773359840954304,3.65482233502536
